trigram phrase,frequency
y el escudero,1
los votantes nos,1
ayudarlo y esta,1
mantiene con una,1
cuántos votos hay,1
cuñado y sobrina,1
como un gran,1
mauricio no somos,1
con la lógica,1
al mundo generando,1
del mundo para,1
va adaptando su,1
que cambió el,1
macri vino a,1
y digo esto,1
identidad pero no,1
romper esa idea,1
cristina que tiene,1
diálogo con ellos,1
pero lo definió,1
a sergio massa,1
como gobierno y,1
elección no se,1
cristina kirchner gane,1
la liberación qué,1
círculo del poder,1
es verte en,1
que nosotros hacemos,1
es periodista y,1
libertad y futuro,1
defunción si preguntás,1
de encontrar nuestra,1
invitó después de,1
están acá mario,1
no lo puedo,1
esconden el pj,1
son todos mega,1
de su identidad,1
muy afectiva pero,1
no practican deportes,1
compitió con nosotros,1
su forma de,1
forzado es que,1
son amigos no,1
poco de libertad,1
gran líder un,1
hizo hace 26,1
cosas le da,1
y lo político,1
general de esta,1
traer ideas frescas,1
siempre impregnado de,1
a massa es,1
mario quintana y,1
muchas veces uno,1
le hace bullying,1
de dos hijos,1
cosas bastante mal,1
un gran padre,1
vidal a mediados,1
la calle y,1
en lousteau no,1
e incluso como,1
que la confianza,1
de rogelio y,1
que sabe ellos,1
porque ellos tienen,1
cuando hay un,1
permanentemente su discurso,1
lado y ellos,1
no se olviden,1
piensan que nosotros,1
malcorra y fluvio,1
fue un tipo,1
a que se,1
ríe mucho de,1
sí colonia no,1
partido el vicepresidente,1
sos vos marcos,1
cambiarla creo que,1
pero ni se,1
regala algo no,1
cambio que quieren,1
stanley dujovne son,1
marketing y que,1
dialogar cuándo apareció,1
kirchneristas pero tiene,1
parece un poco,1
sos más durán,1
que se está,1
a tu mujer,1
la razón de,1
crisis como fue,1
al de una,1
está muy lejos,1
todo cuando estás,1
de ser respetuoso,1
vidal michetti mauricio,1
importante cristina kirchner,1
que como la,1
ellos por el,1
son los amigos,1
barba dijo hace,1
puede conectar el,1
día son como,1
ciudad el país,1
te quedaste pensando,1
cristina kirchner y,1
hace 12 años,1
como este cuando,1
más aparato y,1
política romper esa,1
laburando todos los,1
país esto es,1
para ellos hay,1
fallar no te,1
cambiemos está muy,1
ese manejo sano,1
pero también es,1
sus propias ideas,1
es que tiene,1
liderazgos como politólogo,1
puede otra cosa,1
a cristina como,1
adrián escandar y,1
ese es el,1
tenía para aportar,1
están jugando si,1
o un candidato,1
vamos por todo,1
esto lo manejamos,1
siglo xxi por,1
y se termina,1
o esconden el,1
se ha sometido,1
coartan su creatividad,1
la argentina estaba,1
lo que uno,1
y dicen bueno,1
la gente diga,1
presentan con un,1
adelante y está,1
por hoy lo,1
a estar muy,1
no obviamente vas,1
porque creo que,1
esté tan dividido,1
eso con un,1
invita a un,1
político no acumulo,1
imperio luchar contra,1
bueno pero es,1
dato político más,1
problemas son más,1
uno puede hacer,1
baño muy raro,1
cuñado mis hermanos,1
finalmente llegó joaquín,1
tenemos un país,1
esta lógica de,1
una gran ventaja,1
esa capacidad de,1
que no podemos,1
que estás menos,1
y el poder,1
la pantalla ustedes,1
todo el mundo,1
poco reaccionaria esa,1
o de randazzo,1
con suplentes como,1
espectacular me encanta,1
es cristina qué,1
definime el liderazgo,1
y muchas veces,1
estado todo viene,1
se presenta el,1
principales enemigos ni,1
más que nada,1
vínculo que hay,1
el votante quiere,1
si todos los,1
el liderazgo de,1
presenta el pj,1
y sus defectos,1
adelante pero sé,1
vamos a seguir,1
a toda la,1
mucha confianza de,1
vivir acá y,1
muy difícil como,1
qué pasa con,1
que cristina kirchner,1
diciendo ya está,1
hacemos marketing y,1
que se hayan,1
un poco anticuada,1
fernanda vallejos el,1
primer mandatario y,1
la nueva generación,1
recuerde a cristina,1
salir adelante segundo,1
liderazgos es parte,1
reflexión está buena,1
no lo descalificamos,1
y ellos por,1
juntos somos muy,1
nacieron de una,1
davos fue en,1
no podés darles,1
hacemos la entrevista,1
recomienda en el,1
de verdad o,1
de gobierno la,1
lado no es,1
el vicepresidente scioli,1
fueron los 70,1
cuyo mayor aporte,1
los amigos de,1
los presidentes más,1
siéndolo más en,1
barba no pudo,1
con ambición de,1
massa es una,1
y sí o,1
fernández de kirchner,1
los periodistas y,1
casualidad que ganamos,1
su gabinete pero,1
una explicación más,1
el ataque la,1
en una isla,1
que hay que,1
fue una experiencia,1
futuro para demostrar,1
históricas tienen su,1
a ver cuánto,1
de la gente,1
chicos en la,1
jefaturas de gobierno,1
y quedará en,1
es apasionante y,1
puede viajar en,1
a estados unidos,1
que por bien,1
un cuñado y,1
pregunto cuánta gente,1
arregló no los,1
historia lo va,1
nosotros mismos tenemos,1
cristina moreno qué,1
apareció un día,1
mayor cambio de,1
la autenticidad me,1
macri hemos construido,1
son como una,1
pelo de su,1
los kirchneristas el,1
muchas provincias gracias,1
poder y a,1
diputación después dos,1
que trabaja para,1
politólogo cómo lo,1
ahí acompañándolos hablabas,1
hace salir esa,1
sos el que,1
es natural que,1
tenemos un problema,1
sin buscar ser,1
del poder pero,1
políticos armar las,1
de ahí el,1
lo dejás en,1
es espectacular me,1
con una energía,1
en su momento,1
pero no comparto,1
las herramientas para,1
vos estás en,1
más recorrés el,1
en la política,1
que organizarse para,1
nos suma es,1
para el futuro,1
meterlos en esto,1
hace cosas le,1
se la va,1
cultura de liderazgo,1
ha ido cada,1
no van a,1
ellos lo único,1
ahí el día,1
puede contagiarla nosotros,1
de lucas 9,1
hace lo mismo,1
cristina qué se,1
la atención es,1
para dialogar sobre,1
reconoce en todo,1
las herramientas a,1
impide que quede,1
en este círculo,1
podés darles hace,1
tienen su vida,1
aventura y eso,1
peronista y que,1
se está viendo,1
que la vocación,1
lo más raro,1
muerto hay como,1
he dicho a,1
confía en nosotros,1
los pueblos originarios,1
de hace 20,1
para darle nuevo,1
presenta hay una,1
los mismos objetivos,1
de argentinos diciendo,1
me pongo tenso,1
de fernando de,1
sergio massa en,1
supone que trabaja,1
isla tirado un,1
decimos es qué,1
perdiendo por un,1
en esa elección,1
ecuatoriano para que,1
ver cuánto duran,1
mundo hoy mauricio,1
alternativa por eso,1
triste a la,1
imaginas a cristina,1
significa armonía y,1
en términos de,1
la tentación de,1
través del trabajo,1
preso recién me,1
expresión de gente,1
time hace lo,1
íbamos a ir,1
en casa de,1
de gente con,1
descubierto el tattoo,1
al liderazgo de,1
siempre es pero,1
adversarios políticos armar,1
identidad desde hace,1
de afuera es,1
todo en esta,1
increíble confiesa que,1
consignas en pleno,1
café en el,1
encuestas dicen que,1
ejemplo apostaron muy,1
termina convirtiendo en,1
votantes que están,1
de la campaña,1
una persona muy,1
la política porque,1
15 años somos,1
apostaron muy fuerte,1
más aspiracional más,1
en su piel,1
y bielsa en,1
todos los que,1
vacaciones familiares en,1
yo en mi,1
parece que tiene,1
vas a hacer,1
podamos dar certificado,1
salvás no no,1
sé claro decilo,1
hemos construido una,1
en uno y,1
macri me dijo,1
el vínculo que,1
llegó joaquín sin,1
historia dirá que,1
martín creo que,1
messi daría la,1
y a partir,1
ha sometido a,1
que hace dos,1
consignas de hace,1
de todo pienso,1
clave en el,1
y te describe,1
quiere otra cosa,1
qué cambiarla creo,1
lo conocés bien,1
un cambio y,1
si soy el,1
con los indecisos,1
que tenemos un,1
lousteau a moreno,1
que dé la,1
es inútil mentir,1
libertad a todos,1
vas construyendo un,1
habíamos hecho las,1
ser una persona,1
generosa y cuyo,1
vicepresidente scioli también,1
unidos a que,1
a mauricio porque,1
el miedo lo,1
de su gabinete,1
dos hijos que,1
nuestro hijo mayor,1
randazzo me da,1
que ellos nacieron,1
involucrarse en política,1
trabajo pero también,1
que fue pobre,1
de la juventud,1
tan importante durán,1
y sobrina súper,1
dando una esperanza,1
un lugar de,1
y siempre ha,1
una contradicción de,1
perfecta y en,1
personal y lo,1
que tenga libertad,1
estos años trabajando,1
estar todos ahí,1
a nuestros rivales,1
la cama le,1
tipo auténtico hizo,1
se pone tenso,1
te hace salir,1
gente así que,1
acá para adelante,1
que jaime aportó,1
discurso está claro,1
argentina muchas veces,1
son más profundos,1
por qué construimos,1
cosa de revivir,1
para aportar a,1
camina con comodidad,1
bien bueno pero,1
nuestros hijos van,1
están todos ocupados,1
esa lógica de,1
poco confiable y,1
uno no es,1
la historia recuerde,1
hace 26 años,1
la infertilidad y,1
tratamiento hicimos un,1
potencias para así,1
no poder cómo,1
por muerto dependerá,1
no todas las,1
pj con cristina,1
es muy difícil,1
autenticidad me parece,1
el cerebro detrás,1
ir por una,1
y eso pasa,1
mismo aunque se,1
que susurra cristina,1
y joaquín 3,1
eso invade a,1
a esa enorme,1
al volver de,1
daría la sensación,1
líder un gran,1
que hablan de,1
que esta elección,1
pensar que la,1
atrasar 40 ó,1
familia perfecta y,1
si me hablás,1
hay mal que,1
mega ricos sos,1
de mauricio creo,1
scioli también en,1
sostienen de todo,1
fue lo más,1
peña no me,1
saúl menem cantando,1
el cuervo larroque,1
cual tiene todo,1
lo bueno y,1
de macri me,1
armonía y lo,1
candidato en esta,1
si súper k,1
edad máximo kirchner,1
entró a casa,1
como que les,1
dar nombres no,1
ojalá que sea,1
su discurso permanentemente,1
tarea es espectacular,1
momento bueno pero,1
que está mal,1
enero de este,1
vocación es clara,1
sistema político para,1
en política había,1
el culpable en,1
es la demostración,1
eso fue lo,1
comer no tienen,1
70 esas consignas,1
como forzado es,1
de una lógica,1
las respuestas enfrentar,1
acariciabas la cabeza,1
que se van,1
los días que,1
banderas de la,1
provincia se presentan,1
joven con lo,1
la política romper,1
no se puede,1
barba se ríe,1
se entenderían bien,1
de macri y,1
profeta en su,1
siempre han estado,1
en eso el,1
algo que está,1
personas las herramientas,1
pero ojalá que,1
esta elección por,1
acá y que,1
en general que,1
política argentina que,1
general pero aun,1
bastante pero también,1
creatividad y sus,1
ser amigo no,1
en general de,1
que permitió que,1
qué le dirías,1
le acariciabas la,1
asado con tu,1
a filmus y,1
como argentinos decir,1
mayor aporte es,1
la ciudad el,1
no porque creo,1
sí me parece,1
fragmentación de lo,1
él y ves,1
en equipo que,1
de defunción si,1
que salen a,1
raro para todos,1
jefe y yo,1
ellos tienen su,1
de que había,1
a randazzo me,1
autenticidad cuando esconden,1
gente de lo,1
fue en 2016,1
larroque qué tenés,1
gobierno la provincia,1
dicen que la,1
la lógica del,1
el otro y,1
ganaron no porque,1
pedro fernanda vallejos,1
y eso invade,1
dialogar sobre todo,1
hoy mauricio es,1
candidato jaime es,1
campaña del 2003,1
define marcos peña,1
bueno pero lilita,1
no quiere más,1
te regala algo,1
nuevo aire y,1
la noche en,1
es algo que,1
la gran crisis,1
más nos suma,1
para quiénes son,1
sociedad y al,1
peña sergio massa,1
quedó embarazada no,1
sin corbata una,1
de abajo de,1
o construir un,1
más tirar la,1
rato pero lo,1
ahí fue rica,1
rescatado hubieras agarrado,1
cuarenta años y,1
salón de los,1
martín lousteau mauricio,1
aire y también,1
cada provincia se,1
qué tenés que,1
mantero que es,1
está feliz creo,1
a mí no,1
poder el camino,1
cristina la resignación,1
darle nuevo aire,1
tiene que ser,1
pieza clave en,1
como que la,1
ahí el país,1
que todo ya,1
explicar los problemas,1
hijos que estás,1
eso y por,1
también en cada,1
que demostrar todos,1
súper k ahí,1
un cambio que,1
mi vocación es,1
vos qué es,1
en que habíamos,1
nada hoy son,1
rejuvenecerlo para darle,1
junto al presidente,1
ganaron la diputación,1
tirar la toalla,1
le ganamos a,1
ayudarlo con eso,1
a todos eso,1
chicos es la,1
confianza pero distinto,1
desprolija solo se,1
de baño muy,1
también es un,1
juventud maravillosa y,1
canosa 12 de,1
pero retomando el,1
también muy afectiva,1
hacer tienen que,1
viene de afuera,1
cámpora por el,1
peronismo yo no,1
el tema es,1
da pena porque,1
ustedes dicen se,1
el futuro para,1
macri es uno,1
abajo de una,1
les suma que,1
estrategias siempre impregnado,1
la mayoría de,1
que ha ido,1
o superiores yo,1
lo recomendaron veníamos,1
esta nueva forma,1
es ser una,1
de cristina no,1
y se mantiene,1
ganamos de casualidad,1
los van guardando,1
ego y esa,1
por eso tienen,1
el peronismo tiene,1
país se diera,1
tiene que estar,1
lo que tenía,1
hace es firmar,1
porque los votantes,1
algunos nombres de,1
al que se,1
hablan de él,1
más importantes del,1
pasa con los,1
campeonato del 2019,1
pasa por darle,1
convirtiendo en una,1
quita un poco,1
una silla tentadora,1
embarazada se relajaron,1
relación sana tener,1
una interna habíamos,1
rica pero critican,1
gabinete de macri,1
deseo más grande,1
y quedó embarazada,1
no tengo mucho,1
de julio faltan,1
país lo mismo,1
veces uno no,1
que más escucha,1
