bigram phrase,frequency
se ríe,2
otra generación,2
muchas veces,2
la cultura,2
ser duhaldista,2
suegra es,2
más desprestigio,2
así aprendimos,2
ganó la,2
que piensan,2
de julio,2
a quien,2
marcó una,2
para la,2
el jefe,2
partir de,2
una relación,2
lo impulsó,1
darles hace,1
cariño el,1
muerto dependerá,1
cumplió cuarenta,1
y gustavo,1
vida y,1
fue en,1
viviana canosa,1
los presidentes,1
defunción pero,1
bien no,1
mauricio nosotros,1
detrás de,1
cámpora por,1
pudimos oxigenar,1
encuestas dicen,1
en enero,1
ocupa ese,1
más importantes,1
ventaja incluís,1
se sienten,1
quiso volver,1
enfermando el,1
aventura sacando,1
le pregunto,1
uno tiene,1
poner en,1
no tienen,1
como este,1
hablar y,1
fue que,1
stanley dujovne,1
gente así,1
mí no,1
muy raro,1
presidente o,1
muy autoritario,1
2016 cuando,1
misma pasión,1
el siglo,1
descalificamos porque,1
el 15,1
una interna,1
va adaptando,1
embarazada íbamos,1
de protagonismo,1
le hace,1
esperanza no,1
70 atrasar,1
persona que,1
dos a,1
empoderar la,1
mucho que,1
peña ja,1
definís como,1
termina convirtiendo,1
le dirías,1
y nuestros,1
de rogelio,1
distinta que,1
confianza del,1
massa ni,1
y quedará,1
cristina aníbal,1
adapta su,1
cuando hay,1
que tu,1
todos mega,1
ni se,1
yo veo,1
cristina como,1
las grandes,1
lograrlo sergio,1
eso dijimos,1
espectacular una,1
y cuyo,1
virtudes y,1
encanta con,1
cada obra,1
si pierden,1
del peronismo,1
y están,1
ciudad muy,1
son todos,1
arranque y,1
lopetegui quintana,1
vivía acá,1
certificados de,1
pantalla ustedes,1
de dos,1
agregado fue,1
mundo de,1
nada esta,1
inútil mentir,1
sienten pares,1
en santa,1
macri hemos,1
de liderazgo,1
cuáles eran,1
salvar dos,1
tienen algunas,1
gobierno por,1
trabajamos juntos,1
chiquito fue,1
raro para,1
a tierra,1
gusta mucho,1
apareció un,1
randazzo me,1
dice peña,1
peronismo tiene,1
acá jaime,1
gente diga,1
eugenia vidal,1
encontrar nuestra,1
alto trato,1
padre de,1
sobre su,1
general después,1
titulares están,1
pasión entonces,1
a 15,1
el deseo,1
idea que,1
y sobrina,1
una experiencia,1
o si,1
es profeta,1
funciona muy,1
mauricio porque,1
tribunero como,1
distintas en,1
años luciana,1
hay mucha,1
sobra ustedes,1
2019 la,1
en todo,1
les respeto,1
gobierno pero,1
ojalá la,1
en casa,1
más flaco,1
gracias al,1
toda esta,1
no hace,1
esto el,1
de extrema,1
conocés bien,1
crédito hipotecario,1
colocar en,1
messi daría,1
aspiro a,1
más para,1
años somos,1
kirchner wado,1
la diputación,1
estamos para,1
todo ya,1
el liderazgo,1
y si,1
quién creo,1
pasa con,1
lo trajo,1
uno qué,1
en términos,1
están juntos,1
gente con,1
día salió,1
con lo,1
discurso para,1
más difícil,1
centrado en,1
por una,1
personas para,1
ocultarlo martín,1
no van,1
ido perdiendo,1
ha sometido,1
eso también,1
ataques de,1
cuanto más,1
latina estaba,1
tenga la,1
muy como,1
más gente,1
o se,1
quiere un,1
macri sin,1
tratamiento hicimos,1
campaña y,1
en este,1
70 esas,1
viene todos,1
lilita creo,1
anclas de,1
había unas,1
vos tenés,1
decías cómo,1
no te,1
poco de,1
siéndolo más,1
de 12,1
se ve,1
es vivir,1
muy importante,1
se pone,1
invitó después,1
muchos de,1
historia la,1
si soy,1
nuestros hijos,1
armar las,1
un clima,1
de ayudarlo,1
familia perfecta,1
pueda dar,1
cae eso,1
barba que,1
el vamos,1
largo silencio,1
ejemplo son,1
nosotros vamos,1
leyendo entrevistas,1
campeón en,1
lista distinta,1
es rico,1
cristina no,1
valioso en,1
tu mujer,1
para ustedes,1
concentrador después,1
círculo de,1
metodológicamente para,1
que cree,1
que jaime,1
bien si,1
eso porque,1
frigerio y,1
otro ellos,1
ligada al,1
isla tirado,1
construimos mucha,1
pusieron acá,1
los pasillos,1
filmus y,1
toma su,1
sigue siéndolo,1
su tierra,1
gran cable,1
se toma,1
máximo kirchner,1
hace es,1
comparto su,1
el escudero,1
hombre de,1
sé parte,1
es subestimar,1
pensar en,1
al liderazgo,1
salir adelante,1
ganamos pero,1
poder cómo,1
susurra cristina,1
moreno qué,1
decía lilita,1
pequeñas anclas,1
una transición,1
dicho a,1
fallar no,1
y moreno,1
bastante pero,1
los políticos,1
saco oscuro,1
porque veo,1
de este,1
randazzo ni,1
causas y,1
uno recorre,1
mis primos,1
un churro,1
mario quintana,1
batallas también,1
mismo el,1
no somos,1
y ellos,1
cambiaran afirma,1
ni randazzo,1
ver cuánto,1
los ciudadanos,1
claro es,1
lo reconoce,1
lejos ese,1
cambio entonces,1
gran ventaja,1
por todo,1
dicen bueno,1
como argentinos,1
persecución judicial,1
el señor,1
oportunista o,1
de ataques,1
mantero que,1
vos estás,1
escudero de,1
son les,1
no poder,1
increíble cuanto,1
fernando de,1
toda la,1
decirte es,1
qué me,1
escuché que,1
está mal,1
él en,1
liberación hoy,1
el kirchnerismo,1
a massa,1
para nuestro,1
siempre él,1
a larreta,1
poco es,1
ocupados vos,1
silencio y,1
defectos pero,1
presidente del,1
lo peor,1
eso con,1
proceso como,1
no puede,1
los pueblos,1
redes ahora,1
conozco menos,1
cumplió nueve,1
cristina qué,1
dividido el,1
y juliana,1
entrevistas a,1
su familia,1
provincia la,1
que ahora,1
se relajaron,1
capas que,1
poco reaccionaria,1
y entendernos,1
gracioso no,1
ahí fue,1
y empezó,1
ni cristina,1
de ganar,1
estados unidos,1
de cada,1
lo político,1
y quedaron,1
llegan a,1
momento bueno,1
lo criticó,1
resto y,1
que él,1
que sabe,1
nacimos nosotros,1
congreso en,1
tienen gobierno,1
unen los,1
su tiempo,1
como una,1
se supone,1
claros sé,1
kirchnerista y,1
esta historia,1
lo buenos,1
peña junto,1
pero si,1
darle a,1
nos suma,1
futuro te,1
diálogo con,1
aportar pero,1
moreno cristina,1
20o1 nosotros,1
la toalla,1
nuevo pero,1
bullying a,1
esta definición,1
está pre,1
más general,1
mauricio no,1
recomendaron veníamos,1
tenés sobre,1
presidente para,1
la juventud,1
vínculo que,1
entero y,1
ovodonación habíamos,1
te está,1
tirado un,1
ni massa,1
que trabaja,1
la comunicación,1
mayor agregado,1
que tenés,1
porque él,1
2004 lo,1
trabajo en,1
asfalto llegan,1
cual tiene,1
jugando si,1
que hablan,1
adelante segundo,1
general pero,1
ideas el,1
darle nuevo,1
20 años,1
todos ahí,1
cómo nacimos,1
clave en,1
ecuatoriano para,1
que pasaron,1
camina con,1
ellos lo,1
preso recién,1
política porque,1
elección son,1
un municipio,1
faltan nombres,1
las etapas,1
martín venía,1
como capas,1
es así,1
máquina de,1
barba cuidadosamente,1
reconocen eso,1
obra pública,1
con joaquín,1
acompañarlo a,1
la isla,1
vamos por,1
parte del,1
jaime aportó,1
primos somos,1
de kirchner,1
liderazgos como,1
un amigo,1
es apasionante,1
se murió,1
carnets y,1
sana tener,1
futuro presidente,1
liberar a,1
esa elección,1
creatividad y,1
la marcha,1
ya se,1
que terminó,1
es ese,1
del frente,1
cuñado y,1
peso sí,1
ellos sostienen,1
carlos saúl,1
todavía aunque,1
quién es,1
mientras lloraba,1
rejuvenecerlo para,1
construir poder,1
ganaron la,1
hay nada,1
lo conoce,1
es cómo,1
marzo cumplió,1
alfombra entró,1
más nos,1
salen a,1
eso de,1
nuestra historia,1
tendrán sus,1
se olviden,1
cómo crees,1
se nota,1
estas paso,1
certificado de,1
impulsó a,1
dijo hace,1
