screen_name	date	fav	retweet	text	url	hashtags	mencionado	hashtag
NardaLepes	Mon Jul 15 20:29:13 +0000 2019	6	0	@CariPert A mi firefox hace años en una actualizacion me borro todos los favoritos de años	https://twitter.com/NardaLepes/status/1150864921497874438	[]	@CariPert	
NardaLepes	Mon Jul 15 19:07:41 +0000 2019	6	0	@sebacampanario Despues del apagon, aferrate a tu linea fija, y con telefono no electrico.	https://twitter.com/NardaLepes/status/1150844401092104193	[]	@sebacampanario	
NardaLepes	Mon Jul 15 12:10:58 +0000 2019	33	1	@dzapatillas Es de Mar del plata. Riquisimo y enorme	https://twitter.com/NardaLepes/status/1150739529457963009	[]	@dzapatillas	
NardaLepes	Mon Jul 15 11:52:09 +0000 2019	855	117	"La OMS quiere que prohiba el azucar agregada (+5%) en la comida de bebes. Incluyendo los concentrado de fruta. 
👏🏼👏🏼👏🏼👌🏼👌🏼👌🏼🌈🌈🌈 https://t.co/1Bl2FmFGdf"	https://twitter.com/NardaLepes/status/1150734793891598336	[]		
NardaLepes	Sun Jul 14 12:27:05 +0000 2019	4	1	@rgabrieldelgado @maximobontempo Hold my beer...	https://twitter.com/NardaLepes/status/1150381199342342144	[]	@rgabrieldelgado	
NardaLepes	Sun Jul 14 12:26:48 +0000 2019	2	0	@rgabrieldelgado @maximobontempo @Donatodesantis	https://twitter.com/NardaLepes/status/1150381126797668354	[]	@rgabrieldelgado	
NardaLepes	Sun Jul 14 12:24:27 +0000 2019	22	0	@FlorHalfon @elsantaevita Ud primero haga un pastel de papa.	https://twitter.com/NardaLepes/status/1150380536688513024	[]	@FlorHalfon	
NardaLepes	Sun Jul 14 12:24:03 +0000 2019	226	1	@elsantaevita @zooedipo Seeeeeeeeeeee. 1000%	https://twitter.com/NardaLepes/status/1150380434527858689	[]	@elsantaevita	
NardaLepes	Sat Jul 13 21:26:17 +0000 2019	0	0	@cuervoDL Desteste la interface	https://twitter.com/NardaLepes/status/1150154507134885888	[]	@cuervoDL	
NardaLepes	Sat Jul 13 21:25:51 +0000 2019	1	0	@silvinabruzone @CableFibertel Cambia la clave	https://twitter.com/NardaLepes/status/1150154397088997376	[]	@silvinabruzone	
NardaLepes	Sat Jul 13 18:05:22 +0000 2019	11	1	@CableFibertel @HBOGOsoporte  entre su sistemas hay algun problema que hace que no pueda ver hbogo hace mas de un mes. Se queda asi por horas. https://t.co/uaSgS3aWAx	https://twitter.com/NardaLepes/status/1150103940651991040	[]	@CableFibertel	
NardaLepes	Sat Jul 13 16:35:59 +0000 2019	2	0	@Nicovisne 👨🏻👂🏼👄👩🏻	https://twitter.com/NardaLepes/status/1150081446733918212	[]	@Nicovisne	
NardaLepes	Sat Jul 13 16:33:39 +0000 2019	2	0	@sebacampanario @diegotopaok @diegotopaok esta siempre del lado del bien. Lo amamos.	https://twitter.com/NardaLepes/status/1150080861699809280	[]	@sebacampanario	
NardaLepes	Sat Jul 13 15:35:27 +0000 2019	2	0	@nntaleb @emilianchamorro ja! Ahora lo entendi perrefecto. Toma!	https://twitter.com/NardaLepes/status/1150066214879879170	[]	@nntaleb	
NardaLepes	Sat Jul 13 15:10:46 +0000 2019	4	0	@ETFotografia Que lindo, que merecido! Felicitaciones a yoda la familia Torres!!!	https://twitter.com/NardaLepes/status/1150060003715403776	[]	@ETFotografia	
NardaLepes	Sat Jul 13 15:07:33 +0000 2019	1	0	@sebacampanario @diegotopaok Nos cruzamos ?	https://twitter.com/NardaLepes/status/1150059193417818113	[]	@sebacampanario	
NardaLepes	Sat Jul 13 14:58:10 +0000 2019	126	1	@MikhaIeesi @paolamiglio Shoes baby, shoes.	https://twitter.com/NardaLepes/status/1150056834100862977	[]	@MikhaIeesi	
NardaLepes	Sat Jul 13 14:53:23 +0000 2019	5	2	@maximobontempo @rgabrieldelgado Creo que la manipulacion de informacion en los ultimos años solo creo confusión. Creo que los estudios hechos a medida de la industria que son publicados a la par de los estudios serios, hicieron gran daño.	https://twitter.com/NardaLepes/status/1150055630192959489	[]	@maximobontempo	
NardaLepes	Sat Jul 13 14:50:33 +0000 2019	7	0	@AxelKuschevatzk Creo que tengo un clon mental que escribio Years and years.	https://twitter.com/NardaLepes/status/1150054915986866177	[]	@AxelKuschevatzk	
NardaLepes	Sat Jul 13 13:55:19 +0000 2019	3	0	@AxelKuschevatzk Same	https://twitter.com/NardaLepes/status/1150041014708637697	[]	@AxelKuschevatzk	
NardaLepes	Fri Jul 12 20:19:14 +0000 2019	6	1	@rgabrieldelgado Tanto para aprender y tanto para discutir.	https://twitter.com/NardaLepes/status/1149775244103684096	[]	@rgabrieldelgado	
NardaLepes	Fri Jul 12 12:32:57 +0000 2019	1	0	"@Juanjo_Bueno @Liiacaliri @Jose_Keh @yaelsonica @bromencasa Si, es malo hervir salchichas en el paquete. Queda claro? 
La cascara del huevo es porosa."	https://twitter.com/NardaLepes/status/1149657898634530818	[]	@Juanjo_Bueno	
NardaLepes	Fri Jul 12 12:26:29 +0000 2019	6	2	@guardian Mthrfckrs	https://twitter.com/NardaLepes/status/1149656270514737156	[]	@guardian	
NardaLepes	Fri Jul 12 12:12:06 +0000 2019	20	2	"@Sir_Lunch_a_Lot Uva =fruta. 1 copa x dia. Por cada copa de vino , una de agua. 
S i e m p r e."	https://twitter.com/NardaLepes/status/1149652652910735362	[]	@Sir_Lunch_a_Lot	
NardaLepes	Fri Jul 12 12:06:39 +0000 2019	193	12	105- hacete jugo de vegetales y comete la fruta.	https://twitter.com/NardaLepes/status/1149651282895917057	[]		
NardaLepes	Thu Jul 11 21:55:32 +0000 2019	2	0	@Juanjo_Bueno @Jose_Keh @yaelsonica Que asquete. Cocina las salchis, sacalas y cocina el huevo.	https://twitter.com/NardaLepes/status/1149437089290870786	[]	@Juanjo_Bueno	
NardaLepes	Wed Jul 10 21:26:09 +0000 2019	366	6	Quiero contar por aca que la nueva campeona de la empanada , es Chacha que vive en Mendoza. Y es una gran cocinera.	https://twitter.com/NardaLepes/status/1149067309815910401	[]		
NardaLepes	Wed Jul 10 21:24:53 +0000 2019	0	0	@tepidounremis Es una señora no una casa de empanadas	https://twitter.com/NardaLepes/status/1149066988960063489	[]	@tepidounremis	
NardaLepes	Wed Jul 10 21:24:31 +0000 2019	0	0	@valencho06 No no la señora Chacha vive en Mendoza.	https://twitter.com/NardaLepes/status/1149066896500830212	[]	@valencho06	
NardaLepes	Wed Jul 10 21:23:28 +0000 2019	351	5	Ya cené.	https://twitter.com/NardaLepes/status/1149066632666521600	[]		
NardaLepes	Wed Jul 10 04:17:32 +0000 2019	1	0	@jeremotas Hierro	https://twitter.com/NardaLepes/status/1148808447686782976	[]	@jeremotas	
NardaLepes	Tue Jul 09 21:04:26 +0000 2019	6	0	@ebrenman Lo amo, lo quiero	https://twitter.com/NardaLepes/status/1148699456956768257	[]	@ebrenman	
NardaLepes	Tue Jul 09 21:00:53 +0000 2019	2	0	@ReneRedzepiNoma #comeplantas #eatplants 🌈💚	https://twitter.com/NardaLepes/status/1148698562294890496	[{'text': 'comeplantas', 'indices': [17, 29]}, {'text': 'eatplants', 'indices': [30, 40]}]	@ReneRedzepiNoma	#comeplantas
NardaLepes	Tue Jul 09 20:50:41 +0000 2019	6	0	@JPVarsky No se hable mas! Listo!	https://twitter.com/NardaLepes/status/1148695994042916864	[]	@JPVarsky	
NardaLepes	Tue Jul 09 14:09:58 +0000 2019	1	0	@ElArnold @runixo @d3mian @LANACION Octubre!	https://twitter.com/NardaLepes/status/1148595149884334080	[]	@ElArnold	
NardaLepes	Tue Jul 09 13:44:42 +0000 2019	7	0	@sorrelita Both	https://twitter.com/NardaLepes/status/1148588792040828928	[]	@sorrelita	
NardaLepes	Mon Jul 08 18:58:20 +0000 2019	1	0	@anarapo @runixo @LANACION Lo y la tengo!	https://twitter.com/NardaLepes/status/1148305330914414592	[]	@anarapo	
NardaLepes	Mon Jul 08 18:39:55 +0000 2019	3	0	@marley_ok @BarackObama Omg!	https://twitter.com/NardaLepes/status/1148300697902944257	[]	@marley_ok	
NardaLepes	Sun Jul 07 22:50:36 +0000 2019	4	0	@runixo @LANACION Es lo que estamos haciendo	https://twitter.com/NardaLepes/status/1148001396203106304	[]	@runixo	
NardaLepes	Sun Jul 07 22:50:11 +0000 2019	7	0	"@runixo @d3mian @LANACION hold my beer.
en eso estamos"	https://twitter.com/NardaLepes/status/1148001293300109315	[]	@runixo	
NardaLepes	Sun Jul 07 13:06:49 +0000 2019	9	0	@JPVarsky 👍🏻o👎🏼?	https://twitter.com/NardaLepes/status/1147854481796861954	[]	@JPVarsky	
NardaLepes	Sun Jul 07 13:05:41 +0000 2019	2	0	@BelloniOM @agosto 🤦🏻‍♀️bueh no entendio el chiste. X malo que sea	https://twitter.com/NardaLepes/status/1147854196030562305	[]	@BelloniOM	
NardaLepes	Sun Jul 07 13:04:11 +0000 2019	2	0	@solanai Exacto .	https://twitter.com/NardaLepes/status/1147853821458206721	[]	@solanai	
NardaLepes	Sun Jul 07 03:21:34 +0000 2019	4	1	@fefipetrosillo Estuvimos cocinando y hospedandonos. Muy buenos relatos del momento.	https://twitter.com/NardaLepes/status/1147707197905887232	[]	@fefipetrosillo	
NardaLepes	Sun Jul 07 03:19:46 +0000 2019	7	1	@fefipetrosillo De ahi se llevaron presos a todos.	https://twitter.com/NardaLepes/status/1147706746657497088	[]	@fefipetrosillo	
NardaLepes	Sun Jul 07 03:19:07 +0000 2019	7	0	@agosto Se entendio?	https://twitter.com/NardaLepes/status/1147706585378099200	[]	@agosto	
NardaLepes	Sun Jul 07 03:18:30 +0000 2019	5	0	@guillelimon Sabes que es el Bar au Lac?	https://twitter.com/NardaLepes/status/1147706429186465793	[]	@guillelimon	
NardaLepes	Sun Jul 07 03:17:52 +0000 2019	53	1	@Siwisi Tengo varias amigas a las que les vengo hablando y/o gritando que salgan de ahi. De verdad NO lo ven. Es increible.	https://twitter.com/NardaLepes/status/1147706269039550469	[]	@Siwisi	
NardaLepes	Sun Jul 07 03:15:34 +0000 2019	165	6	"Se me ocurrio un chiste de futbol (de lo cual no se nada) 
“Que la Conmebol vuelva al  Var au Lac  “
(Encima me pa que es solo para entendidos) alguno con autoridad me da el ok?"	https://twitter.com/NardaLepes/status/1147705688556220416	[]		
NardaLepes	Sun Jul 07 00:25:37 +0000 2019	82	0	@miguegranados Le doy like si estoy coincido.	https://twitter.com/NardaLepes/status/1147662920114982913	[]	@miguegranados	
