id	monto_contrato	area_responsable
38	52685356	Ministerio De Desarrollo Urbano Y Transporte
1094	52300000	Ministerio De Ambiente Y Espacio Público
186	52100000	Ministerio De Salud
5087	50643415	Ministerio De Ambiente Y Espacio Público
1177	49565419	Instituto De La Vivienda (Ivc)
1171	48969994	Ministerio De Ambiente Y Espacio Público
1335	48880000	Instituto De La Vivienda (Ivc)
17	48590604	Ministerio De Desarrollo Urbano Y Transporte
30	48500000	Ministerio De Desarrollo Urbano Y Transporte
1132	46473558	Ministerio De Ambiente Y Espacio Público
45	46130426	Ministerio De Desarrollo Urbano Y Transporte
5124	45684704	Ministerio De Ambiente Y Espacio Público
1164	43406958	Ministerio De Ambiente Y Espacio Público
85	43174941	Ministerio De Desarrollo Urbano Y Transporte
18	42340809	Ministerio De Desarrollo Urbano Y Transporte
173	42000000	Ministerio De Salud
1189	41731397	Instituto De La Vivienda (Ivc)
1179	41510103	Instituto De La Vivienda (Ivc)
1140	40900000	Ministerio De Ambiente Y Espacio Público
49	40774370	Ministerio De Desarrollo Urbano Y Transporte
172	40536952	Ministerio De Salud
56	40185440	Ministerio De Desarrollo Urbano Y Transporte
1124	40000000	Ministerio De Ambiente Y Espacio Público
1302	39950000	Ministerio De Educación
1116	38889328	Ministerio De Ambiente Y Espacio Público
1118	38330000	Ministerio De Ambiente Y Espacio Público
3024	38000000	Instituto De La Vivienda (Ivc)
1122	37500000	Ministerio De Ambiente Y Espacio Público
3	36942632	Ministerio De Desarrollo Urbano Y Transporte
73	36725502	Ministerio De Desarrollo Urbano Y Transporte
5092	36640851	Ministerio De Ambiente Y Espacio Público
1104	35956532	Ministerio De Ambiente Y Espacio Público
24	35787390	Ministerio De Desarrollo Urbano Y Transporte
1162	34011000	Ministerio De Ambiente Y Espacio Público
170	33890055	Ministerio De Salud
177	33604400	Ministerio De Salud
175	33600000	Ministerio De Salud
1149	33508984	Ministerio De Ambiente Y Espacio Público
5116	33095135	Ministerio De Ambiente Y Espacio Público
1091	32955400	Ministerio De Ambiente Y Espacio Público
1106	32712692	Ministerio De Ambiente Y Espacio Público
151	32660647	Ministerio De Desarrollo Humano Y Hábitat
1146	32300000	Ministerio De Ambiente Y Espacio Público
65	31688845	Ministerio De Desarrollo Urbano Y Transporte
1317	30144882	Ministerio De Educación
446	30000000	Ministerio De Salud
1099	29998890	Ministerio De Ambiente Y Espacio Público
1129	29577494	Ministerio De Ambiente Y Espacio Público
1098	28753492	Ministerio De Ambiente Y Espacio Público
1107	28050000	Ministerio De Ambiente Y Espacio Público
5123	28004393	Ministerio De Ambiente Y Espacio Público
13313	27795511	Ministerio De Educación
1111	27760000	Ministerio De Ambiente Y Espacio Público
1236	27196862	Ministerio De Educación
4	26938294	Ministerio De Desarrollo Urbano Y Transporte
1242	26452092	Ministerio De Educación
492	26399069	Ministerio De Desarrollo Humano Y Hábitat
1000	26399069	Ministerio De Desarrollo Humano Y Hábitat
1173	25455372	Ministerio De Ambiente Y Espacio Público
1204	24848023	Ministerio De Educación
5118	24707027	Ministerio De Ambiente Y Espacio Público
39	24536126	Ministerio De Desarrollo Urbano Y Transporte
697	24498933	Corporación Buenos Aires Sur
1167	24490004	Ministerio De Ambiente Y Espacio Público
1294	23838357	Ministerio De Educación
1130	23800000	Ministerio De Ambiente Y Espacio Público
1170	23600000	Ministerio De Ambiente Y Espacio Público
5097	23348537	Ministerio De Ambiente Y Espacio Público
180	23152389	Ministerio De Salud
658	22616453	Ministerio De Salud
1145	22600000	Ministerio De Ambiente Y Espacio Público
1202	22479783	Ministerio De Educación
1168	22259416	Ministerio De Ambiente Y Espacio Público
696	22035450	Corporación Buenos Aires Sur
389	21921802	Subsecretaría De Gestión Comunal
1127	21362968	Ministerio De Ambiente Y Espacio Público
1150	21128720	Ministerio De Ambiente Y Espacio Público
483	20640490	Subsecretaría De Gestión Comunal
44	20356959	Ministerio De Desarrollo Urbano Y Transporte
75	19981404	Ministerio De Desarrollo Urbano Y Transporte
807	19428368	Ministerio De Salud
1126	19375918	Ministerio De Ambiente Y Espacio Público
1097	19300000	Ministerio De Ambiente Y Espacio Público
1155	19300000	Ministerio De Ambiente Y Espacio Público
857	19060730	Ministerio De Salud
1090	18900000	Ministerio De Ambiente Y Espacio Público
13312	18787437	Ministerio De Educación
178	18202359	Ministerio De Salud
1165	18100000	Ministerio De Ambiente Y Espacio Público
1095	17970000	Ministerio De Ambiente Y Espacio Público
1092	17966000	Ministerio De Ambiente Y Espacio Público
1113	17919644	Ministerio De Ambiente Y Espacio Público
1143	17900000	Ministerio De Ambiente Y Espacio Público
5095	17580042	Ministerio De Ambiente Y Espacio Público
1267	17492905	Ministerio De Educación
228	17439199	Ministerio De Desarrollo Humano Y Hábitat
454	17406748	Ministerio De Salud
1105	17389000	Ministerio De Ambiente Y Espacio Público
377	17202505	Ministerio De Desarrollo Humano Y Hábitat
81	17176125	Ministerio De Desarrollo Urbano Y Transporte
191	17000000	Ministerio De Salud
5113	16487824	Ministerio De Ambiente Y Espacio Público
1282	16253300	Ministerio De Educación
588	16089020	Ministerio De Salud
13311	16034567	Ministerio De Educación
1109	15300000	Ministerio De Ambiente Y Espacio Público
176	15264748	Ministerio De Salud
26	15242432	Ministerio De Desarrollo Urbano Y Transporte
69	15203243	Ministerio De Desarrollo Urbano Y Transporte
1163	15000000	Ministerio De Ambiente Y Espacio Público
599	14940479	Ministerio De Desarrollo Humano Y Hábitat
1172	14898796	Ministerio De Ambiente Y Espacio Público
595	14893428	Ministerio De Salud
123	14534310	Ministerio De Desarrollo Urbano Y Transporte
1260	14505000	Ministerio De Educación
1166	14460774	Ministerio De Ambiente Y Espacio Público
