id	monto_contrato	area_responsable
1000	527187	Corporación Buenos Aires Sur
1286	525150	Ministerio De Educación
13205	516130	Ministerio De Educación
310	510200	Ministerio De Modernización, Innovación Y Tecnología
13198	508696	Ministerio De Educación
1008	495696	Corporación Buenos Aires Sur
312	479329	Ministerio De Modernización, Innovación Y Tecnología
1016	472003	Corporación Buenos Aires Sur
1017	470875	Corporación Buenos Aires Sur
13229	449321	Ministerio De Educación
1313	446922	Ministerio De Educación
13220	444129	Ministerio De Educación
1069	422723	Corporación Buenos Aires Sur
655	397672	Ministerio De Salud
1339	395997	Ministerio De Cultura
1007	380268	Corporación Buenos Aires Sur
1055	375210	Corporación Buenos Aires Sur
1009	375121	Corporación Buenos Aires Sur
1021	372173	Corporación Buenos Aires Sur
13214	360499	Ministerio De Educación
13223	357597	Ministerio De Educación
1041	356879	Corporación Buenos Aires Sur
1033	351364	Corporación Buenos Aires Sur
592	350000	Ministerio De Salud
1001	346471	Corporación Buenos Aires Sur
299	345000	Ministerio De Modernización, Innovación Y Tecnología
306	335000	Ministerio De Modernización, Innovación Y Tecnología
1042	315201	Corporación Buenos Aires Sur
13279	315118	Ministerio De Educación
1014	313912	Corporación Buenos Aires Sur
302	305388	Ministerio De Modernización, Innovación Y Tecnología
13278	304241	Ministerio De Educación
1004	292677	Corporación Buenos Aires Sur
1032	285872	Corporación Buenos Aires Sur
1050	254512	Corporación Buenos Aires Sur
1011	244427	Corporación Buenos Aires Sur
13226	238398	Ministerio De Educación
13190	228350	Ministerio De Desarrollo Humano Y Hábitat
1087	227617	Corporación Buenos Aires Sur
296	210000	Ministerio De Modernización, Innovación Y Tecnología
13231	208937	Ministerio De Educación
13199	201654	Ministerio De Educación
13222	201654	Ministerio De Educación
1308	178799	Ministerio De Educación
13209	174274	Ministerio De Educación
13212	160446	Ministerio De Educación
13200	149556	Ministerio De Educación
13206	145564	Ministerio De Educación
13211	132465	Ministerio De Educación
1258	126511	Ministerio De Educación
1038	110918	Corporación Buenos Aires Sur
1010	104574	Corporación Buenos Aires Sur
1099	103735	Corporación Buenos Aires Sur
1310	95359	Ministerio De Educación
13216	92787	Ministerio De Educación
1097	79880	Corporación Buenos Aires Sur
1098	79880	Corporación Buenos Aires Sur
1054	72934	Corporación Buenos Aires Sur
1015	56103	Corporación Buenos Aires Sur
13210	47514	Ministerio De Educación
