id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53714332,Spacious Studio Apt in Historic Center of BA,1318605,Nicolas,,Monserrat,-34.6131,-58.38808,Entire home/apt,8076,3,10,2023-02-23,0.69,1,334,9,
744954538942702208,Lindo y cómodo departamento en Buenos Aires,484886386,Edgardo,,Chacarita,-34.58936,-58.44527,Entire home/apt,5183,3,6,2023-03-19,1.22,2,333,6,
1147359,"Soho Artist Studio, breakfast",4215940,Lilian,,Palermo,-34.5882,-58.43325,Entire home/apt,9525,1,24,2022-11-18,0.20,5,338,11,
523546768307583507,Fantastic room in the heart of Buenos Aires,258154594,Atanas,,Monserrat,-34.60856,-58.37885,Private room,325108,5,0,,,11,96,0,
818854619049224088,Private comfortable room @ Palermo Soho,5795964,Carla Y Ezequiel,,Palermo,-34.5890524,-58.43136159999999,Private room,3106,30,0,,,5,62,0,
5489889,"Espectacular apto, vivira como en casa",9955081,Marta,,Palermo,-34.56915,-58.44381,Entire home/apt,13903,7,0,,,1,173,0,
30560689,1 dormitorio . Mucha luz y vista en Belgrano.,8762866,Carolina,,Palermo,-34.56721,-58.44699,Entire home/apt,8165,3,1,2020-01-02,0.03,1,118,0,
20910942,Departamento-piscina-gimnasio-excelente ubicacion,28016050,Melisa,,Monserrat,-34.612266540527344,-58.37733840942383,Entire home/apt,6626,3,55,2023-03-05,0.82,1,218,10,
590596,"Casa 5/6 dormitorios, 9 ambientes patio y terraza",2914527,BA Cramer Apartments,,Colegiales,-34.56993,-58.4555,Entire home/apt,30026,90,4,2017-03-13,0.04,2,363,0,
42434299,Recoleta Studio a 1 cuadra de Av. Las Heras | RB,230834280,RentAR,,Recoleta,-34.583878,-58.399544,Entire home/apt,6152,3,37,2023-01-30,2.40,36,168,31,
851535474591299686,Esmeralda 920. Torre Bellini,43387918,Mechi,,Retiro,-34.5964037974943,-58.37765479493817,Entire home/apt,16000,1,0,,,1,364,0,
2413410,Recoleta 2bdr 80m2 with a view !,12335462,Marisa,,Palermo,-34.58299,-58.40334,Entire home/apt,12425,4,262,2023-03-15,2.44,2,257,29,4563
32613005,VIVIENBAIRES - ESPECTACULAR MONOAMBIENTE,245172463,Viviana Claudia,,Almagro,-34.60811,-58.42108,Entire home/apt,12800,2,8,2020-01-03,0.16,2,336,0,
781045504929056480,Departamento 2 habitaciones,230048471,Oficina,,Monserrat,-34.612,-58.38428,Entire home/apt,20000,3,0,,,4,0,0,
8059400,Amplio depto. Para 4 a 6 PAX con pileta,7879252,Florencia,,Palermo,-34.57779,-58.43853,Entire home/apt,23478,2,146,2023-03-19,1.61,4,232,27,
541868566827910782,Hermoso Apartamento en Barrio de Palermo,433805979,Ruben,,Palermo,-34.59073,-58.41793,Entire home/apt,5177,1,63,2023-03-25,4.46,4,320,53,
647914812778952769,Sentite como en casa en Belgrano,87585052,Natalia,,Belgrano,-34.56417,-58.46863,Entire home/apt,4585,7,11,2023-02-22,1.17,1,26,11,
591316075703501443,Departamento a estrenar en Barracas,156656277,Juliana,,San Telmo,-34.62628,-58.37025,Entire home/apt,10354,1,39,2023-02-20,3.95,16,353,39,
806558661832485106,hermoso depto en colegiales,496600422,Claudio,,Colegiales,-34.57486631101287,-58.447417833812864,Shared room,20000,1,0,,,1,364,0,
796215436378504535,Habitación cómoda y agradable.,490789425,Dario,,San Cristobal,-34.623202824063426,-58.41006329252695,Private room,5916,1,2,2023-03-21,0.79,1,90,2,
33005757,Excelente monoambiente a metros del Obelisco,248407913,Luis Ariel,,San Nicolas,-34.60324,-58.38974,Entire home/apt,4142,359,0,,,4,365,0,
40843436,Lindísimo 2 ambientes cerca de todo,317858268,Sofía,,Recoleta,-34.59684371948242,-58.388099670410156,Entire home/apt,13000,15,0,,,1,272,0,
816083323341095057,Excelente Departamento Palermo S,77486799,Alejandra,,Palermo,-34.58536006309425,-58.43010049313306,Entire home/apt,6086,1,7,2023-03-21,3.89,3,321,7,
40206750,Excelente monoambiente a metros del obelisco,248407913,Luis Ariel,,San Nicolas,-34.60616,-58.38544,Entire home/apt,4142,359,0,,,4,365,0,
776030456403033604,San Telmo- Edificio Paseo de la Cisterna- Uf 321,51699880,Lorena,,Monserrat,-34.6115181,-58.37389369999999,Entire home/apt,12482,2,0,,,96,83,0,
802140589680307500,Alojamiento en Palermo de 3 Amb,78721889,Santiago,,Palermo,-34.5848501,-58.42139290000001,Entire home/apt,6241,89,0,,,1,355,0,
735638047270104239,Big and beautiful apt in Belgrano,366693346,Carina,,Coghlan,-34.56184,-58.46758,Entire home/apt,6212,3,6,2023-02-21,1.22,1,340,6,
644230559490247620,Lovely studio with balcony in Recoleta by depptö,441482178,Santiago,,Recoleta,-34.59528,-58.38723,Entire home/apt,7426,1,16,2023-03-26,1.66,53,350,16,
805095886496833884,Luxury Apartment in Recoleta,496231441,José María,,Recoleta,-34.5871956,-58.38643499999999,Entire home/apt,14000,2,0,,,1,346,0,
25323667,Depto 1 dormitorio para 2 personas en Palermo,55553719,For Rent Argentina,,Recoleta,-34.58975,-58.40917,Entire home/apt,10354,3,0,,,136,148,0,
38063409,"Beautiful apt, great location & view at Retiro",288835471,Elci,,Retiro,-34.59168,-58.37501,Entire home/apt,7544,6,37,2023-02-01,0.86,2,247,12,
34550824,San Telmo - Apartamento ideal estudantes,21896909,Rodrigo,,San Telmo,-34.61761,-58.37387,Entire home/apt,5177,2,0,,,1,118,0,
817549779982434188,Buenos Aires Apartamento ADDA,54665845,Daniela,,San Nicolas,-34.59980897567389,-58.3878205537509,Entire home/apt,12899,4,0,,,1,349,0,
682428827925615876,Apartamento nuevo muy luminoso,53485762,Cristina,,Recoleta,-34.58636,-58.40486,Entire home/apt,11441,4,0,,,2,29,0,
7132114,En Promo! Luz/Tranquilo Mejor Zona! A JARDÍN 7pax,36438901,Miguel Angel,,Recoleta,-34.59408,-58.39367,Entire home/apt,28398,1,66,2023-02-25,0.72,9,270,7,
37209763,Bella,84351051,Graciela,,Palermo,-34.56763,-58.43233,Private room,5177,1,0,,,3,0,0,
8222744,Apartment in Palermo Zoo Area,15466789,Juan,,Palermo,-34.58169,-58.41446,Entire home/apt,25884,7,0,,,53,0,0,
33605730,Beautiful studio apartment with pool near airport,253230291,Gaston,,Belgrano,-34.559895192474855,-58.44373516738415,Entire home/apt,10000,365,2,2022-12-04,0.48,1,0,2,
29888222,Chic  Polo field view cozy apt.,224757631,Matthew,,Palermo,-34.56822,-58.4298,Entire home/apt,10090,3,2,2019-06-08,0.04,1,0,0,
18747551,Stylish Apartment,15466789,Juan,,Retiro,-34.59668,-58.37524,Entire home/apt,25884,7,0,,,53,0,0,
840795115513783921,departamento1,494233155,Alan,,Caballito,-34.61382918292108,-58.43091797556289,Entire home/apt,4556,1,0,,,2,339,0,
828294765362067354,Depto luminoso enfrente del Italiano con pileta,44168030,Dana,,Almagro,-34.6057692,-58.4254951,Entire home/apt,6241,2,4,2023-03-14,3.24,64,90,4,
694252477277885671,Hermoso departamento en Chacarita,162898304,Marcelo,,Chacarita,-34.58501,-58.45229,Entire home/apt,2590,3,6,2022-12-22,0.84,1,4,6,
816820397090632114,habitación privada con baño en suite,423160448,Manuela,,Palermo,-34.57531831706366,-58.405776764373755,Private room,7500,1,0,,,1,291,0,
849421979508667567,Casa de Familia,92356111,Facundo,,Barracas,-34.63738810707581,-58.388534409349404,Private room,5798,2,0,,,1,365,0,
697926240485154888,Lovely 2-bedroom apartment by depptö,441482178,Santiago,,Nuñez,-34.53817,-58.46807,Entire home/apt,13520,1,8,2023-03-10,1.24,53,355,8,
720251424083869655,Único depto. en Once,472441415,Temporary Buenos Aires,,Balvanera,-34.60498,-58.40089,Entire home/apt,6212,7,8,2023-01-16,1.40,15,352,8,
702289843707310918,Moderno Departamento Zona Hospital Italiano,37185741,Micaela,,Almagro,-34.60351,-58.41758,Entire home/apt,40000,1,0,,,4,365,0,
782538541918427663,"Dpto para 4 todo a estrenar, gran ubicación.",68852503,Ale,,San Nicolas,-34.60161,-58.38749,Entire home/apt,21429,1,1,2023-03-20,1,4,364,1,
818097314840121368,Depto en el centro de la ciudad,116721299,Caio,,San Nicolas,-34.59993234260461,-58.38010907867278,Entire home/apt,13000,1,0,,,1,89,0,
