id_viaje	id_taxista	distancia	duracion	cantidad_pasajeros
420	857	9684	1910	1
421	623	5830	1141	1
422	717	1658	638	1
423	904	2098	527	2
424	552	3441	720	1
425	547	1306	418	3
426	891	22	1511	1
427	189	3993	1035	1
428	465	800	237	1
429	460	2105	687	1
430	288	432	145	1
431	611	2898	679	3
432	911	6205	1120	2
433	790	5003	1167	4
434	478	348	557	1
435	305	3819	1147	2
436	58	144	50	1
437	540	1478	464	3
438	460	2937	824	1
439	58	6042	1424	2
440	157	11401	2051	2
441	779	6666	1533	3
442	36	3514	846	2
443	66	2212	892	2
444	189	10704	1465	2
445	850	1125	380	3
446	107	10424	1528	1
447	576	2891	770	2
448	126	3549	854	1
449	576	3554	900	2
450	676	2823	697	1
451	6	2076	516	4
452	31	4401	951	3
453	911	3430	810	4
454	6	1805	641	2
455	920	9800	1484	3
456	8	4009	927	4
457	783	2792	570	1
458	815	1547	564	1
459	815	3582	707	1
460	541	6069	1315	1
461	815	4485	1283	1
462	806	1770	539	2
463	152	7493	1748	1
464	791	8638	1656	1
465	769	2977	785	1
466	920	3380	812	1
467	525	2654	694	1
468	913	4492	1114	1
469	200	1499	648	1
470	8	6926	874	1
471	911	852	269	1
472	313	2112	615	1
473	607	1811	641	1
474	836	3188	1004	1
475	24	2632	675	2
476	779	2658	586	3
477	66	2889	750	3
478	256	3005	669	2
479	746	4974	882	1
480	163	2023	533	2
481	184	4490	963	1
482	672	1210	380	1
483	202	7606	1393	1
484	499	5536	1149	1
485	163	1483	459	1
486	783	2560	537	1
487	91	8524	1803	1
488	664	7229	1400	2
489	39	916	444	3
490	6	3017	795	1
491	836	4978	991	2
492	822	4213	1162	1
493	2	1089	467	1
494	163	3210	641	1
495	256	6334	1518	1
496	552	2996	874	1
497	409	1203	421	1
498	8	1421	444	4
499	21	4674	539	3
500	487	5397	1002	2
501	395	2555	749	1
502	721	1595	580	1
503	437	4032	893	2
504	693	2154	541	1
505	258	1630	521	3
506	687	6966	1339	4
507	437	3471	739	4
508	181	5187	905	1
509	806	5469	1056	2
510	88	3484	1051	2
511	913	5633	1206	2
512	554	6904	1532	1
513	93	6085	1254	1
514	525	5943	1287	2
515	147	1791	494	1
516	395	10192	1740	2
517	769	2544	738	1
518	482	159	916	1
519	200	3714	597	2
520	541	4892	1319	1
521	163	2911	650	1
522	815	4204	1055	1
523	331	3085	934	1
524	170	4268	972	2
525	580	5357	1506	2
526	64	1505	383	2
527	8	3057	718	1
528	256	4765	975	1
529	8	3215	1148	1
530	258	1602	532	2
531	24	2623	728	2
532	580	2690	909	1
533	836	2724	827	1
534	580	12820	1295	1
535	395	2200	743	1
536	791	1858	591	1
537	8	676	290	1
538	86	6354	1313	1
539	791	1347	339	1
540	594	1742	500	1
541	580	3832	1052	1
542	105	4055	831	2
543	93	4645	1300	4
544	791	5978	1234	1
545	420	3222	1216	2
546	128	10936	1572	1
547	93	3579	971	3
548	458	881	452	3
549	589	8821	1503	1
550	791	3641	812	1
551	594	7714	1735	3
552	578	5008	1277	1
553	376	6424	1210	1
554	8	1945	681	1
555	196	750	801	1
556	478	3684	1149	1
557	518	6483	1377	1
558	74	273	149	1
559	229	10472	2215	2
560	759	6569	1081	1
561	138	20919	2366	2
562	376	6342	1135	2
563	359	6804	1038	1
564	884	3798	944	1
565	635	4688	828	2
566	528	5388	1155	3
567	376	2429	661	2
568	287	3602	1047	1
569	518	6	1027	1
570	558	1947	673	2
571	721	1508	355	3
572	289	8	1291	1
573	547	4348	660	1
574	759	5348	865	1
575	611	5542	1121	1
576	528	7008	1596	1
577	611	1167	456	2
578	295	1395	540	3
579	318	4826	993	1
580	11	1110	358	1
581	746	5357	1393	2
582	528	3960	1022	1
583	741	9879	1584	1
584	189	986	464	1
585	95	728	241	2
586	451	7919	1660	2
587	855	2776	732	2
588	312	2864	788	2
589	910	15	1506	3
590	449	676	235	3
591	547	2109	912	2
592	327	2447	716	1
593	189	1501	496	1
594	92	1090	370	2
595	518	3629	859	1
596	611	353	459	1
597	95	1371	438	4
598	312	1480	437	2
599	38	1200	297	2
600	312	2433	784	1
601	921	1437	509	2
602	313	1499	641	1
603	189	2327	966	1
604	57	2931	746	3
605	319	4949	850	1
606	318	9263	1915	2
607	461	4569	1206	3
608	64	887	269	1
609	419	7440	1126	2
610	661	3046	666	1
611	910	1282	440	2
612	60	1380	527	1
613	502	2869	748	2
614	547	4188	849	1
615	441	3612	856	1
616	594	7784	1247	1
617	461	125	475	2
618	313	6147	1617	1
619	318	1092	186	2
620	611	2839	757	3
621	363	2347	599	2
622	921	12906	1734	1
623	189	5107	1268	1
624	426	2397	732	2
625	907	9741	1396	1
626	552	4443	753	4
627	363	1999	691	2
628	547	9810	1851	1
629	479	3650	974	3
630	313	7232	1242	1
631	318	5365	1350	2
632	552	2343	580	1
633	912	4296	1055	2
634	479	2873	845	2
635	318	34	873	2
636	461	5197	1391	1
637	617	3008	720	1
638	611	6450	1315	1
639	381	4948	1097	4
640	189	6505	1444	2
641	419	2011	661	1
642	823	9	475	1
643	31	501	246	4
644	426	4194	1187	1
645	256	1238	327	3
646	441	2264	628	1
647	315	5934	1374	2
648	8	13463	2327	2
649	775	5608	1040	1
650	594	3859	861	1
651	189	7514	1406	2
652	93	3411	1075	1
653	102	3269	771	1
654	611	2729	721	1
655	815	1503	509	1
656	31	1065	410	2
657	252	4287	1007	1
658	482	1943	721	1
659	815	2691	883	1
660	295	2270	347	1
661	214	4993	1436	2
662	487	3033	907	1
663	775	1971	561	3
664	650	7022	1561	3
665	185	3891	823	1
666	256	1364	377	2
667	387	4573	1091	3
668	668	2253	474	1
669	93	4872	1352	3
670	495	9681	1910	1
671	878	1190	529	3
672	576	4787	662	2
673	60	2171	640	2
674	351	2955	831	1
675	775	5986	1339	2
676	64	3320	894	4
677	786	2335	470	1
678	256	707	185	2
679	93	3320	644	1
680	418	5227	1330	3
681	786	4254	935	2
682	779	1891	274	2
683	769	3218	657	1
684	495	1169	532	2
685	576	1215	306	2
686	877	5660	1247	1
687	60	16186	1882	2
688	105	7707	1809	2
689	403	1679	456	1
690	775	4237	1157	1
691	93	1042	374	1
692	877	766	221	3
693	256	1564	435	1
694	57	3728	817	4
695	594	4376	968	2
696	668	3189	189	2
697	8	3187	1001	2
698	418	4207	940	2
699	20	1732	515	2
700	786	2231	612	1
701	576	6611	976	2
702	2	1418	516	2
703	256	8632	1622	4
704	786	2283	585	1
705	8	2737	754	1
706	614	3480	776	3
707	594	4761	809	2
708	2	5504	1033	1
709	743	1673	486	1
710	664	2519	711	1
711	578	2953	757	1
712	913	4982	1329	1
713	803	3793	1094	1
714	105	1867	605	1
715	105	6114	1664	2
716	128	5590	1308	2
717	205	3222	1218	1
718	142	5712	1517	1
719	168	3065	909	1
720	518	3011	696	1
721	918	8799	1931	1
722	56	4448	916	1
723	787	7947	1687	1
724	142	1625	550	2
725	47	7009	1458	1
726	661	1594	537	1
727	437	2895	910	1
728	770	7044	1346	1
729	44	4241	892	2
730	289	1072	386	2
731	527	3836	940	1
732	262	4174	1056	1
733	191	3167	745	1
734	293	3427	881	1
735	209	1035	383	3
736	830	6178	1473	1
737	558	1239	676	3
738	76	3401	718	1
739	766	2936	599	1
740	465	2621	743	1
741	141	4624	1159	1
742	611	2340	682	2
743	334	3333	751	1
744	796	8389	1144	2
745	766	1407	441	1
746	44	3039	780	2
747	384	4252	1253	1
748	289	8404	1784	1
749	276	4316	1161	1
750	650	3486	911	1
751	854	6289	1117	3
752	424	1639	502	1
753	295	6381	656	2
754	899	2536	763	2
755	728	1343	357	1
756	881	4157	970	2
757	37	1381	470	1
758	51	6826	1472	2
759	518	3419	650	3
760	758	881	317	2
761	650	1823	446	3
762	313	1049	447	3
763	85	1470	265	1
764	511	2377	590	1
765	914	6953	1594	1
766	271	1905	494	1
767	356	7330	1547	1
768	758	1390	364	1
769	580	7675	1517	1
770	451	891	416	1
771	142	9160	2047	2
772	276	751	157	1
773	225	1092	529	1
774	883	2760	915	2
775	88	4681	935	1
776	758	3337	904	1
777	122	932	278	1
778	205	2591	637	1
779	558	630	261	1
780	366	7001	1596	1
781	660	8371	1081	1
782	733	5417	1259	1
783	685	4340	1079	2
784	223	2313	658	3
785	271	1567	482	1
786	860	623	234	2
787	791	4878	1053	1
788	857	22	482	2
789	563	10471	1818	1
790	695	2759	694	2
791	107	3594	1013	1
792	337	5216	1034	2
793	795	3374	1024	1
794	903	2396	734	1
795	381	3209	895	2
796	506	870	321	1
797	923	3590	1165	2
798	236	314	758	2
799	779	2971	667	1
800	426	765	207	1
801	21	1540	624	1
802	204	2781	1045	1
803	867	2413	872	1
804	426	1678	503	1
805	39	1957	721	1
806	165	3644	732	1
807	117	3387	946	2
808	457	1055	371	1
809	39	2569	800	1
810	117	2219	553	2
811	105	4461	1009	2
812	456	7693	1645	1
813	931	2978	550	1
814	453	4	373	1
815	917	5729	1660	4
816	917	486	1472	3
817	258	4673	992	1
818	931	6532	1460	3
819	258	3775	1131	1
820	37	3742	1216	1
821	913	3309	1242	1
822	37	3777	1121	2
823	317	2877	829	2
824	478	2866	736	1
825	64	1932	543	1
826	766	1922	400	2
827	79	5854	1053	3
828	606	1484	493	3
829	295	1715	471	1
830	806	3376	913	2
831	611	761	285	1
832	732	905	498	2
833	527	4917	1120	2
834	199	3060	751	1
835	799	1105	362	1
836	85	2055	741	1
837	289	1352	441	1
838	745	10909	1889	1
839	661	4277	825	1
840	225	10549	2196	2
841	30	6019	956	1
842	622	2948	820	1
843	359	5930	1171	2
844	101	2684	799	2
845	126	2025	688	1
846	310	874	245	1
847	803	1718	519	2
848	377	3012	778	1
849	770	5575	1221	1
850	910	8147	1682	2
851	44	11762	1662	2
852	550	7076	1728	1
853	833	15	417	2
854	774	571	332	1
855	426	4277	1051	2
856	141	27515	3055	1
857	796	1612	436	3
858	731	10604	1831	1
859	44	6005	1073	1
860	594	692	311	2
861	462	6582	1498	2
862	745	1323	423	1
863	509	3252	843	1
864	781	1690	574	2
865	625	1906	721	1
866	775	2741	1070	1
867	607	6164	1295	1
868	921	1001	335	1
869	806	4303	1007	1
870	362	1520	388	1
871	105	2799	495	1
872	733	2054	592	1
873	857	3814	1102	2
874	420	4510	937	1
875	295	1356	608	1
876	921	8162	1567	1
877	477	2720	662	1
878	607	4535	909	2
879	165	2207	550	1
880	812	2484	455	1
881	664	6375	1413	1
882	418	8312	1682	1
883	6	3421	829	1
