estacion	hora	total
Inclan	8	27169
Inclan	9	21717
Inclan	10	14890
Inclan	11	13244
Inclan	12	13501
Inclan	13	14205
Inclan	14	13189
Inclan	15	14193
Inclan	16	19847
Inclan	17	17392
Inclan	18	15094
Inclan	19	9614
Inclan	20	7576
Inclan	21	4999
Inclan	22	3143
Inclan	23	489
Independencia	0	1
Independencia	2	0
Independencia	4	0
Independencia	5	1472
Independencia	6	5614
Independencia	7	12573
Independencia	8	16142
Independencia	9	15539
Independencia	10	14328
Independencia	11	14604
Independencia	12	14583
Independencia	13	15341
Independencia	14	14276
Independencia	15	15182
Independencia	16	18078
Independencia	17	21968
Independencia	18	21877
Independencia	19	14687
Independencia	20	11166
Independencia	21	8339
Independencia	22	4227
Independencia	23	455
Independencia.H	0	0
Independencia.H	2	0
Independencia.H	4	0
Independencia.H	5	975
Independencia.H	6	4315
Independencia.H	7	8798
Independencia.H	8	11771
Independencia.H	9	11103
Independencia.H	10	10825
Independencia.H	11	13323
Independencia.H	12	15807
Independencia.H	13	12520
Independencia.H	14	11263
Independencia.H	15	11555
Independencia.H	16	13165
Independencia.H	17	14937
Independencia.H	18	15037
Independencia.H	19	10780
Independencia.H	20	11500
Independencia.H	21	10513
Independencia.H	22	12160
Independencia.H	23	433
Jose Hernandez	0	0
Jose Hernandez	2	0
Jose Hernandez	3	0
Jose Hernandez	5	1238
Jose Hernandez	6	8996
Jose Hernandez	7	31294
Jose Hernandez	8	51319
Jose Hernandez	9	44796
Jose Hernandez	10	33201
Jose Hernandez	11	31048
Jose Hernandez	12	31890
Jose Hernandez	13	31253
Jose Hernandez	14	30526
Jose Hernandez	15	31069
Jose Hernandez	16	36349
Jose Hernandez	17	39992
Jose Hernandez	18	36346
Jose Hernandez	19	26929
Jose Hernandez	20	24119
Jose Hernandez	21	12401
Jose Hernandez	22	5224
Jose Hernandez	23	360
Jose Maria Moreno	0	1
Jose Maria Moreno	4	0
Jose Maria Moreno	5	524
Jose Maria Moreno	6	3661
Jose Maria Moreno	7	13871
Jose Maria Moreno	8	23194
Jose Maria Moreno	9	17252
Jose Maria Moreno	10	10578
Jose Maria Moreno	11	9091
Jose Maria Moreno	12	8752
Jose Maria Moreno	13	8311
Jose Maria Moreno	14	7252
Jose Maria Moreno	15	6878
Jose Maria Moreno	16	8046
Jose Maria Moreno	17	8846
Jose Maria Moreno	18	8582
Jose Maria Moreno	19	6699
Jose Maria Moreno	20	5674
Jose Maria Moreno	21	4139
Jose Maria Moreno	22	1862
Jose Maria Moreno	23	170
Jujuy	0	1
