posicion	jugador	club	puntos	categoria
1627	Iwama, Ignacio                     	Sociedad Alemana              	849	6
1628	Lupano, Guillermo                  	Gimnasty                      	849	6
1629	Carusso, Sofía                     	Asoc. Jap. Sarmiento          	849	6
1630	Simonase, Pablo                    	Fenix                         	849	6
1631	Fiordaponce, Yonathan              	Fenix                         	849	6
1632	Salz, Guillermo                    	San Lorenzo                   	849	6
1633	Gutsch, Walter                     	Sociedad Alemana              	848	6
1634	Pascual, Valentín                  	Gimnasty                      	848	6
1635	Pastorino, Leandro                 	Circ. La Paternal             	848	6
1636	Villegas, Pablo                    	AsociacionYabrudense          	848	6
1637	Wagner, Martín                     	Libre                         	848	6
1638	Rueda, Aníbal                      	TMR                           	847	6
1639	Cortez, Pablo                      	Tigre TDM                     	847	6
1640	Gaboardi, Emiliano                 	Ferrocarril Oeste             	846	6
1641	Hertzulis, Ezequiel                	Fenix                         	846	6
1642	Piedra, Walter                     	Zenit                         	846	6
1643	Riquel, Damián                     	CTDM Pato Nizetich            	846	6
1644	Perret, Danel I.                   	Def. Santos Lugares           	846	6
1645	Gelvan, Maximiliano                	Macabi                        	845	6
1646	Cuevas, Edwin                      	ASTECA                        	845	6
1647	Cantarian, Agustín                 	Garin Tenis de Mesa           	845	6
1648	Pflugler, Santiago                 	Sp. Villa Ballester           	845	6
1649	De Francisco, Leonel               	Nikkei TDM                    	845	6
1650	Cuello, Héctor                     	ASTECA                        	844	6
1651	Lotito, Alan                       	Peñarol                       	844	6
1652	Cullari, Matías                    	Top Minc                      	844	6
1653	Lebas, Facundo                     	Adrogue Sith Spin             	844	6
1654	Ruffino, Guillermo                 	UGAB                          	843	6
1655	Bulacio, Héctor                    	La Patriada                   	843	6
1656	Hsia, Esteban                      	Fenix                         	843	6
1657	Dagorret, Martín                   	Libertad                      	843	6
1658	Bozzuto, Luciano                   	Social Club TDM               	843	6
1659	Antezana, Ali                      	Social Club TDM               	843	6
1660	Ykei, Sebastián                    	Circ. La Paternal             	842	6
1661	Fernandez, Pablo Luis              	Yupanqui                      	842	6
1662	Carrizo, Agustín                   	Circulo Campano               	842	6
1663	Valdez, Juan Francisco             	Estacion Ping Pong            	842	6
1664	Catalan, Franco                    	Libre                         	841	6
1665	Beisso, Alexis                     	Alvear Club                   	841	6
1666	Austi, Sebastián                   	Padilla                       	841	6
1667	Fina, Mauro Martín                 	Fenix                         	841	6
1668	Zararte, Adrián                    	Libre                         	840	6
1669	Campeoto, Santiago                 	Urquiza                       	840	6
1670	Cavallaro, Giuliano                	Urquiza                       	840	6
1671	Leuzi, Sebastian                   	Zenit                         	840	6
1672	Krowicki, Gustavo                  	Intendente Agüero             	839	6
1673	Caffarelli, Mariano                	Escuela Cangallo              	839	6
1674	Cordova, Héctor                    	Peñarol                       	839	6
1675	Martinez, Gabriel                  	Libre                         	838	6
1676	Rodriguez, Juan Pablo              	Top Minc                      	838	6
1677	Kamita, Andrés                     	Nichia Gakuin                 	838	6
1678	Solari, Agustín                    	Sp. Villa Ballester           	838	6
1679	Santillan, Agustin                 	Nikkei TDM                    	838	6
1680	Di Girolamo, Ramón                 	Nikkei TDM                    	838	6
1681	Vittori, Luciano                   	Intendente Agüero             	837	6
1682	Melszenker, David                  	Libre                         	837	6
1683	Cosentino, Agustín                 	Cultural Chelín               	837	6
1684	Vilte, Jorge                       	Gimnasty                      	837	6
1685	Catarraso, Gustavo                 	UGAB                          	837	6
1686	Shimabukuro, Luis                  	Nikkei TDM                    	836	6
1687	Ramos, Tomás                       	Peñarol                       	836	6
1688	Akiyama, Valentina                 	Asoc. Jap. Sarmiento          	836	6
1689	Menegazzi, Federico                	Libre                         	836	6
1690	Rodriguez, Lautaro                 	Urquiza                       	836	6
1691	Parinelli, Jesus                   	Estacion Ping Pong            	836	6
1692	Isola, Andres                      	AsociacionYabrudense          	836	6
1693	Juarez, Manuel                     	Peñarol                       	835	6
1694	Miranda, Ezequiel                  	Oeste TDM Catán               	835	6
1695	Alessandro, Fabio                  	Ateneo de Versailles          	835	6
1696	Shiba Oyama, Childuru              	Gimnasty                      	834	6
1697	Finkenstein, Gabriel               	Top Minc                      	834	6
1698	Benitez, Diego Alejandro           	Ntra. Señora Lourdes          	834	6
1699	Taira, Vanina                      	Asoc. Jap. Sarmiento          	834	6
1700	Bonadimani, Fernando               	Nichia Gakuin                 	834	6
1701	Simoncini, Lionel                  	Ntra. Señora Lourdes          	833	6
1702	Fernandez, Carlos                  	CEDIMA                        	833	6
1703	Vitullo, Nicolás                   	Ferrocarril Oeste             	833	6
1704	Sorace, Ricardo                    	Libre                         	833	6
1705	Suarez, José Ernesto               	C.A.S.A. de Padua             	833	6
1706	Branciforte, Fabrizio              	Padilla                       	833	6
1707	Strefezza, Sebastián               	Inst. Compañía María          	832	6
1708	Sttafolani, Mariano                	TMR                           	832	6
1709	Tell, Tomás                        	Soc. Fomento CAVA             	832	6
1710	Pavolotzki, Hernán                 	Libre                         	832	6
1711	Dondovich, César                   	Libre                         	832	6
1712	Werenicz, Pablo                    	Sol Argentino                 	831	6
1713	Schiuma, Iván                      	Peñarol                       	831	6
1714	Taneda, Guillermo                  	UGAB                          	831	6
1715	Granados, Lucas                    	Adrogue Sith Spin             	831	6
1716	Fuks, Eduardo                      	UGAB                          	831	6
1717	Bronstein, Facundo                 	River Plate                   	831	6
1718	Huchaime, Daniela                  	Inst. Compañía María          	830	6
1719	Suss, Werner                       	Sociedad Alemana              	830	6
1720	Shalom, Federico                   	C.N. Bouchardo                	830	6
1721	Jakubowicz, Ariel                  	C.N. Bouchardo                	830	6
1722	Gushiken, Melina                   	Asoc. Jap. Sarmiento          	830	6
1723	Gimenez, Rodrigo                   	Padilla                       	830	6
1724	Cabuli, Ezequiel                   	UGAB                          	829	6
1725	De Lucca, Gustavo                  	Padilla                       	829	6
1726	Ahumada, Sergio                    	Zenit                         	829	6
1727	Carusso, Jésica                    	Asoc. Jap. Sarmiento          	828	6
1728	Ishikawa, Micaela                  	Asoc. Jap. Sarmiento          	828	6
1729	Poncelas, Andrés Pablo             	Fenix                         	828	6
1730	Calvo, Manuel Antón                	Fenix                         	828	6
1731	Busquets, Gabriel                  	Ntra. Señora Lourdes          	828	6
1732	Cruseño, Osvaldo                   	La Patriada                   	828	6
1733	Cañadas, Mariano                   	UGAB                          	827	6
1734	Rozenblum, Natalia                 	CTDM Pato Nizetich            	827	6
1735	Carpio, Héctor                     	La Patriada                   	827	6
1736	Ramos, Gustavo                     	Alvear Club                   	827	6
1737	Robinsohn, Gustavo                 	Inst. Compañía María          	827	6
1738	Riquelme, Maira                    	CEDIMA                        	826	6
1739	Carril, Lisandro                   	Escuela Cangallo              	826	6
1740	Pintos, Leandro                    	Ferrocarril Oeste             	826	6
1741	Grushka, Nicolás                   	Nichia Gakuin                 	826	6
1742	Mauas, Matías                      	Macabi                        	826	6
1743	Scrocco, Lucas                     	San Lorenzo                   	826	6
1744	Panela, Franco                     	Gimnasty                      	825	6
1745	Lamazon, Matías                    	Peñarol                       	825	6
1746	Brezman, Alan                      	Macabi                        	825	6
1747	Nieczyporczyk, Ricardo             	Cedem nº 2                    	825	6
1748	Lemos, Jorge                       	Garin Tenis de Mesa           	825	6
1749	Ortiz Montealegre, Miguel          	Nichia Gakuin                 	825	6
1750	Veliz, Juan                        	Fenix                         	825	6
1751	Wigodzky, Darío                    	Circ. La Paternal             	824	6
1752	Perez, Matías                      	Vito Dumas TdM                	824	6
1753	Genna, Leonardo                    	Rioja                         	823	6
1754	Gonzalez, Matías Ezequiel          	Ferrocarril Oeste             	823	6
1755	Oliva Mayer, Horacio               	CPCN Villa Gesell             	823	6
1756	Perez, Gabriel                     	Tigre TDM                     	823	6
1757	Krynski, Sebastián                 	Nichia Gakuin                 	823	6
1758	Maidana, Maximiliano               	Circ. La Paternal             	822	6
1759	Tsunoda, Sofía                     	Gimnasty                      	822	6
1760	Iguei, Nakagawa Juan               	Asoc. Jap. Sarmiento          	822	6
1761	Paz Polito, Nicolás                	Sociedad Alemana              	822	6
1762	Zuccolo, Iván                      	Ntra. Señora Lourdes          	822	6
1763	Vallejos, Ricardo                  	Gimnasty                      	822	6
1764	Mendez, Maitena Nerea              	Social Club TDM               	822	6
1765	Gramisci, Federico                 	Top Minc                      	821	6
1766	Gomez, Leonardo Gabriel            	Adrogue Sith Spin             	821	6
1767	Sosa, Rocío                        	River Plate                   	821	6
1768	Pinto, Diego                       	Nichia Gakuin                 	821	6
1769	Greco, Luis                        	Fenix                         	821	6
1770	Vaineras, Darío                    	Libre                         	820	6
1771	Kalejman, Ignacio                  	Garin Tenis de Mesa           	820	6
1772	Arcidiacono, Carmen                	Rioja                         	819	6
1773	Nuss, Federico                     	TMR                           	819	6
1774	Bocuzzi, Esteban                   	Adrogue Sith Spin             	819	6
1775	Maglia, Fernando                   	HCD                           	819	6
1776	Iturralde, Esteban                 	Ingeniero Acosta              	819	6
1777	Winnik, Carlos Alberto             	Macabi                        	819	6
1778	Milgram, Roni                      	Top Minc                      	819	6
1779	Vitaliano, Martín                  	Sociedad Alemana              	818	6
1780	Fuentes, Alejandro                 	Intendente Agüero             	818	6
1781	Rodriguez, Matías                  	Sol Argentino                 	818	6
1782	Maldonado, Pablo                   	Peñarol                       	818	6
1783	Storchi, Gabriel                   	Soc. Fomento CAVA             	818	6
1784	Donoso, Sebastián                  	Adrogue Sith Spin             	818	6
1785	Bala, Horacio                      	Oeste TDM Catán               	818	6
1786	Alonso, Carlos                     	Padilla                       	818	6
1787	Fontana, Mauro Esteban             	Libre                         	818	6
1788	Maldonado, Francisco M.            	La Legión TDM                 	818	6
1789	Tripay, Hector                     	Libre                         	817	6
1790	Orquin, Gustavo                    	La Legión TDM                 	817	6
1791	Battan, Julián                     	TMR                           	817	6
1792	Mendeguia, Roberto                 	Ingeniero Acosta              	817	6
1793	Tiercin, Pablo                     	Alvear Club                   	816	6
1794	Becerra, Ramiro                    	Ferrocarril Oeste             	816	6
1795	Rodriguez, Matías                  	Peñarol                       	816	6
1796	Deschutter, Mateo                  	Escuela Cangallo              	816	6
1797	Mendoza, Diego                     	Cedem nº 2                    	816	6
1798	Fux, Sebastián                     	Nichia Gakuin                 	816	6
1799	Gomez, Fernando                    	Libre                         	816	6
1800	Sasson, Maximiliano D              	Macabi                        	816	6
1801	Suchecki, Fernando                 	Garin Tenis de Mesa           	815	6
1802	Federico, Miguel                   	Padilla                       	815	6
1803	Asorey, Gonzalo                    	TMR                           	814	6
1804	Campos, Mariano                    	Yupanqui                      	814	6
1805	Cortez, Claudio                    	Top Minc                      	814	6
1806	Vallejos, Ramiro                   	Gimnasty                      	814	6
1807	Roldan, Lucas                      	TMR                           	813	6
1808	Inga, Eduardo                      	Peñarol                       	813	6
1809	Berta, Ezequiel                    	TMR                           	813	6
1810	Weinreich, Rodolfo                 	Sociedad Alemana              	813	6
1811	Diaz, David                        	Peñarol                       	813	6
1812	Illobre, Diego                     	UGAB                          	813	6
1813	Alaluf, Gustavo                    	UGAB                          	812	6
1814	Magadan, Alberto                   	TMR                           	812	6
1815	Chananpa, Carlos                   	La Legión TDM                 	812	6
1816	Martinez, Alan                     	Ntra. Señora Lourdes          	812	6
1817	Ojeda, Martín                      	Adrogue Sith Spin             	812	6
1818	Robledo, Alberto                   	Rioja                         	811	6
1819	Pinciroli, Juan Manuel             	Ingeniero Acosta              	811	6
1820	Politti, Micael                    	Yupanqui                      	811	6
1821	Staffolani, Mariano                	TMR                           	811	6
1822	Buscalia, Jean Lucas               	Yupanqui                      	811	6
1823	Schumich, Sergio                   	La Legión TDM                 	811	6
1824	Oliva Beningazza, Bianca M         	CPCN Villa Gesell             	811	6
1825	Takahashi, Brisa C.                	Gimnasty                      	811	6
1826	Rubin, Uriel                       	Libre                         	810	6
1827	Greitzer, Eduardo                  	Padilla                       	810	6
1828	Hagenbuch, Danilo                  	Top Minc                      	810	6
1829	Otero, Jorge                       	Atlanta                       	810	6
1830	Sosa, Pedro                        	La Patriada                   	810	6
1831	Samczuk, Ciro                      	Alvear Club                   	810	6
1832	Rodriguez, Ignacio                 	UBA Exactas                   	809	6
1833	Catracchia, Gastón                 	Rioja                         	809	6
1834	Paulo, Marcos                      	TMR                           	809	6
1835	Gryszkiewicz, Maximiliano          	Def. Santos Lugares           	809	6
1836	Siffredi, Ignacio                  	Ntra. Señora Lourdes          	809	6
1837	Perez, Nazareno Damián             	Oeste TDM Catán               	809	6
1838	Leiva, Haydee                      	TMR                           	809	6
1839	Chicco, Esteban                    	Alvear Club                   	809	6
1840	Roig, Sem                          	Libre                         	809	6
1841	Gonzalez, Javier                   	Fenix                         	809	6
1842	Cabrera, Marcos                    	TMR                           	809	6
1843	Scarpa, Matías                     	C.A  Dep. Paraguayo           	808	6
1844	Caballero, Rodrigo                 	Libre                         	807	6
1845	Harima, Marcela                    	Gimnasty                      	807	6
1846	Crevecouer, Nicolás                	Intendente Agüero             	807	6
1847	Teplitzky, Javier                  	Libre                         	806	6
1848	Tapari, Leonel                     	Rioja                         	806	6
1849	Valle, Walter                      	Soc. Fomento CAVA             	806	6
1850	Ramirez, Roberto                   	Ntra. Señora Lourdes          	806	6
1851	Silveira, Gastón                   	UGAB                          	806	6
1852	Schjaer Justicia, Cristian         	Nichia Gakuin                 	806	6
1853	Taboada, Alfredo                   	Fenix                         	806	6
1854	Levy, Tomás                        	River Plate                   	806	6
1855	Gonzalez, Federico                 	UGAB                          	806	6
1856	Palavecino, Luca                   	Oeste TDM Catán               	806	6
1857	Tauro, Fabio                       	CEDIMA                        	805	6
1858	Tapari, Nahuel                     	Peñarol                       	805	6
1859	Gonzalez, Diego                    	Escuela Cangallo              	805	6
1860	Evers, Ian                         	Nichia Gakuin                 	805	6
1861	Wior, Martín                       	Atlanta                       	805	6
1862	Mouriño, Ariel                     	La Legión TDM                 	805	6
1863	Romero, Agustin                    	Ntra. Señora Lourdes          	805	6
1864	Otalvares, Ezequiel                	Padilla                       	804	6
1865	Castro, Pablo                      	UGAB                          	804	6
1866	Braile, Santiago                   	Ingeniero Acosta              	804	6
1867	Eustaquio, Leonel                  	Tigre TDM                     	804	6
1868	Alanis, Jonathan                   	Peretz                        	804	6
1869	Riella, Julián                     	Peretz                        	804	6
1870	Fernandez, Mack Dennis             	Atlanta                       	804	6
1871	Torres, Sebastian                  	Fenix                         	804	6
1872	Izquierdo, Leandro                 	Libre                         	803	6
1873	Vidal, Vicente                     	Libre                         	803	6
1874	Arnalda, Alejandro                 	Def. Santos Lugares           	803	6
1875	Perez, Jorge Alberto               	Ntra. Señora Lourdes          	802	6
1876	Alem, Nicolás                      	Ntra. Señora Lourdes          	802	6
1877	Vernillo, Sergio                   	Adrogue Sith Spin             	802	6
1878	Dondovich, María                   	La Legión TDM                 	802	6
1879	Albarado, Jorge Alberto            	C.A.S.A. de Padua             	802	6
1880	Baroffio, Sergio                   	Peñarol                       	801	6
1881	Astoreli, Guido                    	Tigre TDM                     	801	6
1882	Kanonicz, Facundo                  	Macabi                        	801	6
1883	Dim, Brian                         	Peñarol                       	801	6
1884	Torres, Benjamín                   	Libre                         	801	6
1885	Buchbinder, Sharon                 	Libre                         	801	6
1886	Gomez, Luis Fernando               	Libre                         	800	6
1887	Pino, Santiago D.                  	La Legión TDM                 	800	6
1888	Aguirre, Julio Ricardo             	Libre                         	800	6
1889	Maciel, Ignacio                    	Oeste TDM Catán               	800	6
1890	Segovia, Sergio                    	Zenit                         	800	6
1891	Chou, Chung Tai                    	Zenit                         	800	6
1892	Ursini, Sergio Norberto            	Peretz                        	800	6
1893	Diaz, Juan Pablo                   	UNQ Tenis de Mesa             	800	6
1894	Velazquez, Cristian                	TMR                           	800	6
1895	Cornejo, Franco                    	Garin Tenis de Mesa           	800	6
1896	Combessies, Mariano                	Libertad                      	800	6
1897	Romero, Sergio                     	Intendente Agüero             	800	6
1898	Simon, Ernesto                     	Estacion Ping Pong            	800	6
1899	Aprile, Daniel                     	Urquiza                       	800	6
1900	Estevez, Mateo                     	Tigre TDM                     	800	6
1901	Carnerero, Gustavo Javier          	Ferrocarril Oeste             	800	6
1902	Convertini, Juliana                	Top Minc                      	800	6
1903	Alvarez, José                      	Peretz                        	799	6
1904	Ocampos, Fidel                     	CEDIMA                        	799	6
1905	Stivala, Lucas                     	Ferrocarril Oeste             	799	6
1906	Amuy, Diego                        	Libre                         	799	6
1907	Carbajo, Ezequiel                  	Ingeniero Acosta              	799	6
1908	Lopez, Ariel Orlando               	Alvear Club                   	799	6
1909	Vazquez, Matías Nicolás            	Peñarol                       	798	6
1910	Urquiza, Gastón                    	Gral. Sarmiento               	798	6
1911	Buscalia, Marcos                   	Yupanqui                      	798	6
1912	Kuperman, Axel                     	Macabi                        	798	6
1913	Ponce, Simón                       	Fenix                         	798	6
1914	Pisano, Ariel                      	Ateneo de Versailles          	798	6
1915	Gomez, Javier Alberto              	Social Club TDM               	798	6
1916	Pregliasco, Brian                  	Ateneo de Versailles          	798	6
1917	Tsunoda, Valentina                 	Gimnasty                      	797	6
1918	Silombra, Ezequiel                 	TMR                           	797	6
1919	Lattanzi, Luis                     	Inst. Compañía María          	797	6
1920	Ono, Rumy                          	Nichia Gakuin                 	797	6
1921	Romero, Rogelio                    	CEDIMA                        	796	6
1922	Tuma, Roberto                      	Peñarol                       	796	6
1923	Lan, Guillermo                     	Libre                         	796	6
1924	Heis, Juan                         	Padilla                       	796	6
1925	Nuñez, Nazareno                    	Ntra. Señora Lourdes          	796	6
1926	Barduncier, Guillermo              	CEDIMA                        	796	6
1927	Thisted, Marcos                    	La Legión TDM                 	796	6
1928	Dolcet, Mauro                      	Ntra. Señora Lourdes          	796	6
1929	Wilson, Ignacio                    	Sol Argentino                 	795	6
1930	Iriazabal, Cristian                	Escuela Cangallo              	795	6
1931	Cerraburru, Tomás                  	La Legión TDM                 	795	6
1932	Chade, Octavio                     	Fenix                         	795	6
1933	Peral, Leandro                     	Top Minc                      	795	6
1934	Werthamer, Pablo                   	Atlanta                       	795	6
1935	Benitez, Agustín                   	Zenit                         	795	6
1936	Herrera, Martín                    	Peñarol                       	795	6
1937	Rossello, Gastón                   	Ferrocarril Oeste             	794	6
1938	Martinez, Ricardo                  	La Reja                       	794	6
1939	Carrillo, Lucas                    	Rioja                         	794	6
1940	Mel, Matías                        	Padilla                       	794	6
1941	Levy, Pablo Adrián                 	Top Minc                      	794	6
1942	Barduncier, Néstor                 	CEDIMA                        	794	6
1943	Mansi, Matías José                 	Peñarol                       	793	6
1944	Deraco, Julián                     	Peñarol                       	793	6
1945	Zlotogwiazda, Matías               	UGAB                          	793	6
1946	Petenatti, Jeremías                	Peñarol                       	793	6
1947	Paletta, Marcelo                   	Nikkei TDM                    	792	6
1948	Zabala, Martín                     	Cedem nº 2                    	792	6
1949	Orsi, Fabián                       	Adrogue Sith Spin             	792	6
1950	Perez, Mauro                       	Libertad                      	792	6
1951	Kramarovsky, Iván                  	Inst. Compañía María          	792	6
1952	Romero, Damián                     	TMR                           	791	6
1953	Guarino, Mariano                   	Peñarol                       	791	6
1954	Ortiz, Juan Emanuel                	Social Club TDM               	791	6
1955	Completa, Alan                     	Libre                         	790	6
1956	Paz, Pablo                         	Peñarol                       	790	6
1957	Fronzini, Sergio                   	Adrogue Sith Spin             	790	6
1958	Mauas, Uriel                       	CTDM Pato Nizetich            	790	6
1959	Ferrari, Guido                     	Urquiza                       	790	6
1960	Butvilofsky, Carlos                	Yupanqui                      	789	6
1961	Bravo Tedesco, Bruno               	UGAB                          	789	6
1962	Hohendahl, Nicolás                 	Libre                         	789	6
1963	Zurita, Luciano                    	Libre                         	789	6
1964	Gabriel, Max                       	Peñarol                       	789	6
1965	Riquelme, Francisca                	Libre                         	789	6
1966	Asmu, Agustín                      	Libertad                      	789	6
1967	De Lucca, Pablo                    	Gimnasty                      	789	6
1968	Perez, Ian                         	Peñarol                       	788	6
1969	Kato, Midori                       	Nichia Gakuin                 	788	6
1970	Olmedo, Jésica                     	Ntra. Señora Lourdes          	788	6
1971	Scrosoppi, Elian                   	Inst. Compañía María          	788	6
1972	Espinosa, Leandro Martín           	Libre                         	788	6
1973	Carattoli, Matias J.               	Ateneo de Versailles          	788	6
1974	Losada Bernal, Luis Fernando       	River Plate                   	788	6
1975	Flores, Eduardo                    	Peñarol                       	787	6
1976	Rege, Nahuel                       	Libre                         	787	6
1977	Traversaro, Marcelo                	Peñarol                       	787	6
1978	Funes, Lucas                       	Peñarol                       	787	6
1979	Braunstein, Julieta                	Inst. Compañía María          	787	6
1980	Perez, Camila D.                   	Ingeniero Acosta              	787	6
1981	Lemir, Franco                      	River Plate                   	787	6
1982	Murua, Santiago                    	Alvear Club                   	786	6
1983	Chavez, Luca                       	Oeste TDM Catán               	786	6
1984	Kalbermatter, Roberto              	Padilla                       	786	6
1985	Sabarros, Renzo                    	Libre                         	785	6
1986	Aguilera, Nicolás Ezequiel         	Peñarol                       	785	6
1987	Ubeda, Carlos                      	C.A  Dep. Paraguayo           	785	6
1988	Robles, Luis Delfin                	Padilla                       	785	6
1989	Letona, Jorge                      	Def. Santos Lugares           	785	6
1990	Malvar, Matías                     	U.V.V.A.                      	785	6
1991	Gugliotta, Francisco               	Ferrocarril Oeste             	785	6
1992	Bologna, Julián                    	Peretz                        	785	6
1993	Arzuaga, Leonardo G                	CTDM Pato Nizetich            	785	6
1994	Gomez, María                       	Nichia Gakuin                 	784	6
1995	Garro, Pablo Fernando              	Intendente Agüero             	784	6
1996	Marroquin, Marcos                  	UGAB                          	784	6
1997	Campagnolo, Andrés                 	Intendente Agüero             	784	6
1998	Gomez Camacho, Micaela             	Padilla                       	784	6
1999	Morinigo, Matías                   	Adrogue Sith Spin             	784	6
2000	Gonzalez, Pedro                    	UGAB                          	784	6
2001	Chakerian, Guido                   	UGAB                          	784	6
2002	Luski, Ian                         	Macabi                        	784	6
2003	Beserman, Pablo                    	Macabi                        	783	6
2004	Trombino, Diego                    	Escuela Cangallo              	783	6
2005	Amoretti, Ignacio                  	Gimnasty                      	783	6
2006	Mato, Mariano                      	Urquiza                       	783	6
2007	Gomes, Max                         	Peñarol                       	783	6
2008	Hauszpigiel, Ariel                 	Libre                         	783	6
2009	Gonzalez, Misael                   	Peretz                        	782	6
2010	Zanuy, Gabriela                    	Libre                         	782	6
2011	Coelli, Agustín                    	UGAB                          	782	6
2012	Ramirez, Agustín                   	TMR                           	782	6
2013	Cararo, Franco                     	Garin Tenis de Mesa           	782	6
2014	Ghersi, Agustín                    	Ateneo de Versailles          	782	6
2015	Erlich, Axel                       	La Legión TDM                 	782	6
2016	Lin, Pablo                         	Social Club TDM               	782	6
2017	Tapia, Jareth                      	Libre                         	782	6
2018	Makishi, Marta                     	CEDIMA                        	781	6
2019	Salerno, Miguel                    	TMR                           	781	6
2020	Zhang, Federico                    	Libre                         	781	6
2021	Alzogaray, Cristian                	CTDM Pato Nizetich            	781	6
2022	Aguirre, Nicolas M                 	Nichia Gakuin                 	781	6
2023	Garcia, Matías                     	Sol Argentino                 	780	6
2024	Gil, Pedro                         	Peñarol                       	779	6
2025	Perez, Kevin                       	Intendente Agüero             	779	6
2026	Sosa, Gaspar                       	Libre                         	779	6
2027	Scarabela, Sol                     	Saladillo TDM                 	779	6
2028	Defferrari, Humberto               	CEDIMA                        	779	6
2029	Cataldo, Nicolás                   	Intendente Agüero             	778	6
2030	German, Mariano                    	Macabi                        	778	6
2031	Zavaglia, Matías                   	Sol Argentino                 	778	6
2032	Martinez, Ezequiel                 	Peñarol                       	778	6
2033	Vernillo, Dante                    	Adrogue Sith Spin             	778	6
2034	Guerra, Yoel                       	La Legión TDM                 	778	6
2035	Pereira, Martin                    	Zenit                         	778	6
2036	Arnaudo, Facundo E.                	La Legión TDM                 	778	6
2037	Ramos, Ivana                       	Yupanqui                      	777	6
2038	Ibarra, Darío                      	Peretz                        	777	6
2039	Lizalde, Facundo                   	Ingeniero Acosta              	777	6
2040	Gonzalez, Juan Manuel              	Ntra. Señora Lourdes          	777	6
2041	Lugones, Maximiliano               	Yupanqui                      	777	6
2042	Enriquez, Ariel                    	Libre                         	777	6
2043	Reda, Sergio                       	CTDM Pato Nizetich            	777	6
2044	Nuñez, Matías                      	Escuela Cangallo              	777	6
2045	Garcia, Lucas                      	Yupanqui                      	776	6
2046	Gonzalez, Ariel                    	C.N. Bouchardo                	776	6
2047	Lucchesi, Iván                     	Ingeniero Acosta              	776	6
2048	Garcete, Roberto                   	Cedem nº 2                    	776	6
2049	Ranno Farias, Alex C.              	Circulo Campano               	776	6
2050	Waserman, Sergio                   	Ateneo de Versailles          	775	6
2051	Jmelnizky, Rafi                    	Macabi                        	775	6
2052	Simon Hurtado, Carlos              	Alvear Club                   	775	6
2053	Leone, Mariano                     	Padilla                       	774	6
2054	Chao, Julio                        	C.N. Bouchardo                	773	6
2055	Diaz Bordon, Federico              	TMR                           	773	6
2056	Franco, Nicolás                    	TMR                           	773	6
2057	Bobryk, Pedro                      	Rioja                         	773	6
2058	Campillo, Franco                   	Oeste TDM Catán               	773	6
2059	Gonzalez, Franco Esteban           	TMR                           	773	6
2060	Garayoa, Santiago                  	Vito Dumas TdM                	773	6
2061	Tamashiro, Aldo Gabriel            	Def. Santos Lugares           	772	6
2062	Malga, Gastón                      	Peñarol                       	772	6
2063	Mercado, Silvia                    	Rioja                         	771	6
2064	Gonzalez, Ariel                    	Peñarol                       	771	6
2065	Mendoza, Sergio                    	Rioja                         	771	6
2066	Chalukian, Giselle                 	UGAB                          	771	6
2067	Riveira, Esteban                   	Libre                         	771	6
2068	Lux, Bjoern                        	UGAB                          	771	6
2069	Gorojovsky, Miguel                 	Padilla                       	771	6
2070	Rodriguez, Lucía                   	Escuela Cangallo              	771	6
2071	Buttazzoni, Tomás Agustín          	Tigre TDM                     	771	6
2072	Alguacil, Roy                      	Libre                         	771	6
2073	Camargo, Leandro                   	TMR                           	770	6
2074	Chillemi, Germán                   	Top Minc                      	770	6
2075	Kaufman, Mijael                    	Macabi                        	770	6
2076	Mamone, Matias                     	Social Club TDM               	770	6
2077	Usatinsky, Fernando                	Circ. La Paternal             	769	6
2078	Gutman, Uriel                      	Escuela Cangallo              	769	6
2079	Rojas, Matías                      	Macabi                        	769	6
2080	Algarañaz, Alberto                 	Rioja                         	769	6
2081	Lebas, Gastón                      	Adrogue Sith Spin             	769	6
2082	Trujillo Palacio, Samantah         	River Plate                   	769	6
2083	Ibelli, Leonardo                   	Padilla                       	769	6
2084	Romero, Franco                     	Sol Argentino                 	768	6
2085	Sagastume Kohn, Ariel              	River Plate                   	768	6
2086	Beltran, Norman                    	Libre                         	767	6
2087	Paz, Sergio                        	Circulo Campano               	767	6
2088	Yancarelli, Nahuel                 	Saladillo TDM                 	767	6
2089	Castria, Mariano                   	Urquiza                       	766	6
2090	Molina, Agustín                    	Saladillo TDM                 	766	6
2091	Testa, Emilio                      	Saladillo TDM                 	766	6
2092	Di Stefano, Iván                   	San Lorenzo                   	766	6
2093	Solla, Enzo                        	Zenit                         	766	6
2094	Tapia, Alexis                      	La Legión TDM                 	766	6
2095	Minassian, Carlos                  	Intendente Agüero             	765	6
2096	Valenzuela, Alexis                 	CEDIMA                        	765	6
2097	Sarquis, Elias                     	Nichia Gakuin                 	765	6
2098	Baldassarri, Agustin               	Libre                         	765	6
2099	Schiuma, Flavio                    	Rioja                         	764	6
2100	Slipak, Damián                     	UGAB                          	764	6
2101	Callaba, Ricardo                   	Gimnasty                      	764	6
2102	Villaverde, Alejandro              	CEDIMA                        	763	6
2103	Buono, Carla Cecilia               	AsociacionYabrudense          	763	6
2104	Blanco, Rafael                     	Garin Tenis de Mesa           	762	6
2105	Mancini, Axel                      	Ntra. Señora Lourdes          	762	6
2106	Marabi, Roni                       	Adrogue Sith Spin             	762	6
