posicion	jugador	club	puntos	categoria
514	Soto, Martin                       	Libre                         	1386	3
515	Nuñez, Joaquín                     	Nikkei TDM                    	1385	3
516	Pastor, Eduardo                    	River Plate                   	1384	3
517	Luongo, Fernando                   	UGAB                          	1383	3
518	Golstein, Horacio                  	Alvear Club                   	1382	3
519	Garcia, Cristian W.                	Tigre TDM                     	1382	3
520	Salpeter, Claudio                  	HCD                           	1380	3
521	Dorrego, Martín                    	Top Minc                      	1379	3
522	Olmos, Alan                        	Ateneo de Versailles          	1379	3
523	Baron, Tomás                       	CTDM Pato Nizetich            	1373	3
524	Ortiz, Carlos N.                   	Libertad                      	1373	3
525	Maza, Diego Hernán                 	River Plate                   	1371	3
526	Viguie, Sebastián                  	Libre                         	1369	3
527	Bettinotti, Alfredo                	UBA Exactas                   	1368	3
528	Rimasa, Daniel                     	River Plate                   	1365	3
529	Malka, Shimon                      	HCD                           	1365	3
530	García, Juan Ignacio               	Escuela Cangallo              	1362	3
531	Franco, Gabriel                    	TMR                           	1362	3
532	Gonzalez Rouco, Nicolás            	Escuela Cangallo              	1360	3
533	Morales, Luciano                   	Oeste TDM Catán               	1359	3
534	Martinez, Federico                 	UGAB                          	1359	3
535	Gans, Ignacio                      	Macabi                        	1359	3
536	Matsumoto, Mariano                 	Libre                         	1358	3
537	Gonzalez Fernandez, Agustín        	Ntra. Señora Lourdes          	1358	3
538	Szeinfain, Thomas                  	Ateneo de Versailles          	1358	3
539	Cardalda, Guido                    	Fenix                         	1355	3
540	Losada, Carlos                     	UBA Exactas                   	1354	3
541	Maeshiro, Kevin                    	Alvear Club                   	1354	3
542	Pelliza, Juan                      	Gimnasty                      	1352	3
543	Trigo, Fernando                    	Estacion Ping Pong            	1352	3
544	Pelliza, Augusto                   	U.V.V.A.                      	1348	3
545	Mendez, Gonzalo                    	Cedem nº 2                    	1348	3
546	Grondona, Sebastián                	Gimnasty                      	1347	3
547	Fiorito, Alexis                    	Top Minc                      	1346	3
548	Cabrera, Dardo                     	Peretz                        	1344	3
549	Kowiensky, Gerardo                 	River Plate                   	1342	3
550	Perdicchia, Julio                  	UBA Exactas                   	1342	3
551	Chapuis, Kevin N.                  	TMR                           	1342	3
552	Gimenez, Sebastián                 	Garin Tenis de Mesa           	1341	3
553	Battan, Américo                    	TMR                           	1341	3
554	Perez Sanjinez, Giancarlos         	CTDM Pato Nizetich            	1341	3
555	Pollini, Santiago                  	Ntra. Señora Lourdes          	1340	3
556	Palacios, Miguel                   	HCD                           	1339	3
557	San Martin, Ignacio                	Rioja                         	1338	3
558	Burgos, Néstor Alejandro           	Padilla                       	1338	3
559	Garbarino, Guillermo               	Ferrocarril Oeste             	1338	3
560	Fulco, Leandro                     	Peñarol                       	1338	3
561	Anglada, Guillermo                 	Libre                         	1338	3
562	Perez, Felix                       	Escuela Cangallo              	1337	3
563	Oliva Beningazza, Franco           	CPCN Villa Gesell             	1337	3
564	Fernandez, Diego                   	HCD                           	1336	3
565	Ailan, Alan                        	Tigre TDM                     	1336	3
566	Delgado, Gastón                    	Fenix                         	1335	3
567	Salvatore, Gastón                  	Peñarol                       	1334	3
568	Burstein, Sergio                   	Hacoaj                        	1331	3
569	Geraci, Ezequiel                   	Intendente Agüero             	1331	3
570	Mirabelli, Ariel                   	Alvear Club                   	1331	3
571	Albornoz, Fernando                 	Alvear Club                   	1330	3
572	Malowicki, Nicolás                 	Top Minc                      	1330	3
573	Markunas, Maximiliano              	Fenix                         	1330	3
574	Amendola, Julio                    	Def. Santos Lugares           	1330	3
575	Costantino, Alberto                	Intendente Agüero             	1327	3
576	Arenas, Ezequiel                   	Intendente Agüero             	1327	3
