Pos	Jugador	Club	Puntos	Categoria
147	Castro, Rodrigo Sebastián          	Adrogue Sith Spin             	1175	3
148	Okuyama, Abril                     	Peretz                        	1173	3
149	Saul, Felipe                       	Alvear Club                   	1169	3
150	Tengan, Javier                     	TMR                           	1167	3
151	Lomban, Bautista                   	Instituto Cia. Maria          	1166	3
152	Falles, Miguel Angel               	Gimnasty                      	1165	3
153	Battaglini, Alejandro              	Alvear Club                   	1155	3
154	Orobio, Manuel                     	Tigre TDM                     	1148	3
155	Corfias, Joaquin                   	Zenit                         	1146	3
156	Tula, Fabio                        	Nikkei TDM                    	1143	3
157	Yamaguchi, Luis Alberto            	Peñarol                       	1134	3
158	Fernandez Pizzella, Valentin       	Ferrocarril Oeste             	1129	3
159	Parodi, Oscar                      	Alvear Club                   	1127	3
160	Waicman, Nicolas                   	CTDM Pato Nizetich            	1122	3
161	Guglielmone, Gustavo               	Fenix                         	1122	4
162	Petrasso, Leonardo                 	CAVA                          	1117	4
163	Bisforo, Lucas                     	U.V.V.A.                      	1110	4
164	Bustamante, Matías                 	Lourdes                       	1107	4
165	Lescano, Ramiro                    	Urquiza                       	1104	4
166	Aizemberg, Ariel                   	Fenix                         	1094	4
167	Rodini, Juan                       	Alvear Club                   	1094	4
168	Carattoli, Lucas J.                	Ateneo de Versailles          	1094	4
169	Revah, Ismael                      	River Plate                   	1090	4
170	Mariño, Naomí                      	CEDIMA                        	1089	4
171	Convertini, Pablo                  	Top Minc                      	1084	4
172	Werner, Fabian                     	CTDM Pato Nizetich            	1079	4
173	Roig, Dante                        	Tigre TDM                     	1067	4
174	Caligaris, Juan                    	Spin TDM                      	1066	4
175	Stefanini, Sebastián               	CASA de Padua                 	1063	4
176	Quiroga, Walter                    	TMR                           	1057	4
177	Faranca, Dario                     	Libre                         	1046	4
178	Martinez, Mario Raúl               	TMR                           	1037	4
179	Shinzato, Adrián                   	Nikkei TDM                    	1035	4
180	Pollini, Mariano                   	Lourdes                       	1033	4
181	Medina, Sebastian                  	CTDM Pato Nizetich            	1023	4
182	Schvartz, Ivan                     	Macabi                        	1014	4
183	Vazquez, Alejandro                 	River Plate                   	1009	4
184	Szekasy, Valentín                  	Instituto Cia. Maria          	1006	4
185	Bernardou, Tomas                   	Ateneo de Versailles          	1004	4
186	Soldi, Juan Andres                 	Gimnasty                      	996	4
187	Geronimo, Ismael Alejandro         	Top Minc                      	989	4
188	Aquino, Manuel                     	GTM                           	984	4
189	Carranza, Mateo                    	Tigre TDM                     	978	4
190	Canteros, Cristian                 	Ferrocarril Oeste             	977	4
191	Shahmuradyan, Rafael               	La Legión TDM                 	974	4
192	Dappiano, Martin                   	Fenix                         	969	4
193	Malenchini, Jorge Daniel           	CTDM Pato Nizetich            	959	4
194	Mira, Pablo                        	Spin TDM                      	958	4
195	Tiercin, Gonzalo                   	Atlanta                       	956	4
196	De Stefano, Pablo                  	Alvear Club                   	956	4
197	Valverde, Javier                   	Ferrocarril Oeste             	951	4
198	Penalva, Santiago                  	San Lorenzo                   	950	4
199	Santellan, Wilfredo Germán         	Fenix                         	939	4
200	Lira, Reinaldo                     	La Legión TDM                 	939	4
201	Duek, Joaquin                      	Macabi                        	934	4
202	Girotti, Adrian                    	Nikkei TDM                    	933	4
203	Laiño, Alejandro Daniel            	CAVA                          	925	4
204	Paz, Facundo J.                    	Def. Santos Lugares           	917	4
205	Villanueva, Gonzalo                	Top Minc                      	910	4
206	Campbell, Roger P.                 	La Legión TDM                 	910	4
207	Loiacono, Joaquin                  	Alvear Club                   	896	4
208	Diaz, Fernando                     	Top Minc                      	895	4
209	Coronil, Jorge Gustavo             	TMR                           	886	4
210	Fradkin, Ivan                      	River Plate                   	877	4
211	Carrizo, Agustín                   	Circulo Campano               	876	5
212	Toledo, Javier                     	Top Minc                      	871	5
213	Zaffaroni Velazquez, Luca N.       	Def. Santos Lugares           	869	5
214	Ruiz, Mateo Jose                   	Ateneo de Versailles          	863	5
215	Bronstein, Facundo                 	River Plate                   	858	5
216	Lopez Venturino, Ignacio           	Ferrocarril Oeste             	857	5
217	Mondino, Nicolas                   	Fenix                         	857	5
218	Aguirre, Nicolas M                 	Nichia Gakuin                 	854	5
219	Marcial, Alma G.                   	AsociacionYabrudense          	843	5
220	Wior, Martín                       	Atlanta                       	840	5
221	Mautone, Mariano                   	La Legión TDM                 	840	5
222	Leuzi, Sebastian                   	Zenit                         	838	5
223	Arnaudo, Facundo E.                	La Legión TDM                 	838	5
224	Estrada, Marcelo                   	Instituto Cia. Maria          	832	5
225	Mamone, Matias                     	Social Club TDM               	832	5
226	Ramos, Gustavo                     	Alvear Club                   	827	5
227	Robinsohn, Gustavo                 	Instituto Cia. Maria          	826	5
228	Scrocco, Lucas                     	San Lorenzo                   	826	5
229	Veliz, Juan                        	Fenix                         	826	5
230	Isola, Andres                      	AsociacionYabrudense          	822	5
231	Sasson, Maximiliano D              	Macabi                        	818	5
232	Busquets, Gabriel                  	Lourdes                       	816	5
233	Diaz, Juan Pablo                   	Lourdes                       	812	5
234	Perez, Mauro                       	Libertad                      	811	5
235	Romero, Agustin                    	Lourdes                       	805	5
236	Bentancor, Matias                  	Ferrocarril Oeste             	804	5
237	Ramos, Nicolas J.                  	Ateneo de Versailles          	804	5
238	Villegas, Pablo                    	AsociacionYabrudense          	802	5
239	Lin, Pablo                         	Social Club TDM               	798	5
240	Dolcet, Mauro                      	Lourdes                       	789	5
241	Kalbermatter, Roberto              	Padilla                       	786	5
242	Flores Canto, Erik                 	La Legión TDM                 	785	5
243	Lemir, Franco                      	River Plate                   	784	5
244	Milgram, Roni                      	Top Minc                      	780	5
245	Maldonado, Francisco M.            	La Legión TDM                 	779	5
246	Azzurro, Ignacio                   	Gimnasty                      	777	5
247	Simon Hurtado, Carlos              	Alvear Club                   	772	5
248	Sagastume Kohn, Ariel              	River Plate                   	768	5
