indra	prov	depto	circuito	secelec	departamento	x	y
020110792	02	011	0792	3	Berazategui	-58.099362074554904	-34.80041292391097
020110792A	02	011	0792A	3	Berazategui	-58.15619205521993	-34.850529520185866
020110792B	02	011	0792B	3	Berazategui	-58.19576079048806	-34.906871501836044
020110792C	02	011	0792C	3	Berazategui	-58.16586954212472	-34.80757996389043
020110792D	02	011	0792D	3	Berazategui	-58.15962438652553	-34.76950128785749
020120511	02	012	0511	3	Berisso	-57.80505501215998	-34.9190539156463
020120512	02	012	0512	3	Berisso	-57.87257867254597	-34.86762151119969
020120513	02	012	0513	3	Berisso	-57.88260006763432	-34.88231652110033
020120513A	02	012	0513A	3	Berisso	-57.90453663195254	-34.91430141695781
020130125	02	013	0125	7	Bolivar	-61.13995205921312	-36.27842675498001
020130125A	02	013	0125A	7	Bolivar	-60.98740456734276	-36.400245341139566
020130126	02	013	0126	7	Bolivar	-61.09174851831907	-36.03665975921194
020130127	02	013	0127	7	Bolivar	-60.76499937306535	-36.00479622393609
020130128	02	013	0128	7	Bolivar	-60.96421310690138	-35.970600330503956
020130129	02	013	0129	7	Bolivar	-60.92211443258061	-36.18392644328998
020130130	02	013	0130	7	Bolivar	-61.320823394272765	-36.200070948730115
020130131	02	013	0131	7	Bolivar	-61.26122703838728	-36.37668659632817
020130131A	02	013	0131A	7	Bolivar	-61.10335672134196	-36.50591158319262
020130132	02	013	0132	7	Bolivar	-61.43826436553003	-36.42859178804023
020130133	02	013	0133	7	Bolivar	-61.410782187011115	-36.589749664717644
020140136	02	014	0136	4	Bragado	-60.52956931296287	-35.13517053204551
020140137	02	014	0137	4	Bragado	-60.41911551575141	-35.099545172505366
020140138	02	014	0138	4	Bragado	-60.605026925315066	-35.0291415583207
020140139	02	014	0139	4	Bragado	-60.4218903607203	-35.20600065882028
020140140	02	014	0140	4	Bragado	-60.516388560969546	-35.31131907320473
020140141	02	014	0141	4	Bragado	-60.633831772434554	-35.225490744659574
020140142	02	014	0142	4	Bragado	-60.737321610352616	-35.12860094842591
020140143	02	014	0143	4	Bragado	-60.735245688766994	-34.947252728751536
020140144	02	014	0144	4	Bragado	-60.565324886948204	-34.89656103032111
020140145	02	014	0145	4	Bragado	-60.720861797058376	-34.75239734734013
020150148	02	015	0148	3	Brandsen	-58.306736153028034	-35.18815779801827
020150149	02	015	0149	3	Brandsen	-58.114691366318134	-35.20145859540389
020150150	02	015	0150	3	Brandsen	-58.25094761338271	-35.28048434008877
020150151	02	015	0151	3	Brandsen	-58.18372360999312	-35.071393351560125
020150152	02	015	0152	3	Brandsen	-58.15327664360491	-35.33984376766297
020150153	02	015	0153	3	Brandsen	-57.969605814979055	-35.22495379065272
020150153A	02	015	0153A	3	Brandsen	-58.02888310162518	-35.28767579977824
020160155	02	016	0155	1	Campana	-58.882196757091506	-34.139180087594745
020170157	02	017	0157	3	Ca�uelas	-58.7656984535712	-35.07295587084847
020170158	02	017	0158	3	Ca�uelas	-58.64994242497935	-35.00729073511262
020170158A	02	017	0158A	3	Ca�uelas	-58.63656358134687	-34.928377889618446
020170158B	02	017	0158B	3	Ca�uelas	-58.71860786001779	-34.94683124356388
020170159	02	017	0159	3	Ca�uelas	-58.84558559428403	-35.15196875818961
020170160	02	017	0160	3	Ca�uelas	-58.69165366361905	-35.1807916435202
020170161	02	017	0161	3	Ca�uelas	-58.56386477272744	-35.222825178936525
020170162	02	017	0162	3	Ca�uelas	-58.628066590031295	-35.3193134418632
020180121	02	018	0121	2	Capitan Sarmiento	-59.7979552196317	-34.13074906272684
020180122	02	018	0122	2	Capitan Sarmiento	-59.93712323503586	-34.17818436113529
020190164	02	019	0164	4	Carlos Casares	-61.422629268529526	-35.69832719814965
020190164A	02	019	0164A	4	Carlos Casares	-61.204765690950516	-35.71093722866049
020190165	02	019	0165	4	Carlos Casares	-61.59535216716867	-35.48527381592456
020190165A	02	019	0165A	4	Carlos Casares	-61.549565841321716	-35.569610058980366
020190165B	02	019	0165B	4	Carlos Casares	-61.458950841585946	-35.49375750079976
020190166	02	019	0166	4	Carlos Casares	-61.18903876635145	-35.88365377163431
020190167	02	019	0167	4	Carlos Casares	-61.414950911868786	-35.95614920863286
020190167A	02	019	0167A	4	Carlos Casares	-61.32561925681991	-35.812954803779824
020200169	02	020	0169	4	Carlos Tejedor	-62.448643342772804	-35.46653140649405
020200170	02	020	0170	4	Carlos Tejedor	-62.16748909072633	-35.3819375059948
020200171	02	020	0171	4	Carlos Tejedor	-62.22223106086901	-35.594063981291825
020200171A	02	020	0171A	4	Carlos Tejedor	-62.352275818518066	-35.67598639485129
020200172	02	020	0172	4	Carlos Tejedor	-62.764243882027095	-35.35965011281479
020200173	02	020	0173	4	Carlos Tejedor	-62.56767984653878	-35.20439136394985
020210175	02	021	0175	2	Carmen de Areco	-59.77815953937752	-34.35095971016767
020210176	02	021	0176	2	Carmen de Areco	-59.97861245766182	-34.39103636420484
020210177	02	021	0177	2	Carmen de Areco	-59.87270660270697	-34.49045064407477
020220729	02	022	0729	6	Patagones	-62.999257492671916	-40.49067601918267
020220730	02	022	0730	6	Patagones	-62.54860773396979	-40.75857252997546
020220731	02	022	0731	6	Patagones	-62.97755724067942	-40.04963926748467
020220731A	02	022	0731A	6	Patagones	-62.51514179850811	-40.371790787452944
020220732	02	022	0732	6	Patagones	-62.407268337609864	-40.00515820152366
020220733	02	022	0733	6	Patagones	-62.955823258476244	-39.64337176006396
020230185	02	023	0185	5	Castelli	-57.859335255905656	-36.11731786582538
020230186	02	023	0186	5	Castelli	-57.62674425092288	-35.989012682742896
020230187	02	023	0187	5	Castelli	-57.42558008391769	-35.9947339086828
020240230	02	024	0230	2	Colon	-61.05055522836494	-33.88508340316564
020240230A	02	024	0230A	2	Colon	-61.19474255961563	-34.01637295508927
020240231	02	024	0231	2	Colon	-60.924032565850574	-33.712380120503546
020240231A	02	024	0231A	2	Colon	-60.94779312355241	-33.88883511123599
020250232	02	025	0232	6	Coronel Dorrego	-61.31396116163169	-38.73791105573997
020250232A	02	025	0232A	6	Coronel Dorrego	-61.32612828705199	-38.558000889576135
020250233	02	025	0233	6	Coronel Dorrego	-61.19629472480235	-38.85758414825544
020250234	02	025	0234	6	Coronel Dorrego	-61.53557720489707	-38.717516387322526
020250235	02	025	0235	6	Coronel Dorrego	-61.067263196986765	-38.43465323896933
020250236	02	025	0236	6	Coronel Dorrego	-60.812928495772525	-38.568671667818535
020250236A	02	025	0236A	6	Coronel Dorrego	-60.68936404416338	-38.58054466741249
