circuito	FRENTE DE TODOS	JUNTOS POR EL CAMBIO	CONSENSO FEDERAL	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	FRENTE NOS	MOVIMIENTO DE AVANZADA SOCIALISTA	FRENTE PATRIOTA	PARTIDO DIGNIDAD POPULAR	MOVIMIENTO ORGANIZACION DEMOCRATICA
0208700753A	0	0	1	0	0	0	0	0	0
0208700754A	186	430	30	12	5	3	2	3	1
0208800765A	11	17	0	0	0	0	0	0	0
0208900768A	5317	5848	1012	474	286	86	25	23	11
0208900768B	1612	1381	167	94	75	14	8	9	2
0208900768C	5410	3737	588	372	248	46	12	24	13
0208900769A	144	89	16	8	5	1	0	1	0
0208900770A	267	1282	65	21	32	3	0	1	0
0208900770B	1085	1043	102	78	81	14	0	2	1
0208900770D	595	183	39	28	9	2	3	2	0
0208900770E	2040	725	170	118	100	14	2	7	1
0208900770F	3160	1020	203	158	108	20	4	21	1
0208900771A	1218	1666	201	117	86	22	7	5	5
0208900771B	2126	2888	320	149	101	23	10	12	5
0208900771C	9211	5442	951	589	453	123	34	32	31
0208900771D	9515	4999	1019	478	530	87	43	40	54
0208900772A	4704	3759	535	223	307	51	10	30	9
0208900772B	1191	618	141	49	61	11	3	5	1
0209000339A	3210	1985	354	113	89	26	8	19	7
0209000339B	908	1221	164	54	27	10	4	7	0
0209000339C	67	211	14	2	1	0	1	0	0
0209100777A	29	66	2	0	0	0	0	0	0
0209200783A	6588	2313	436	255	177	43	25	47	14
0209200785A	6639	5200	1048	487	161	101	20	23	11
0209200785B	14673	9352	1968	927	366	229	58	67	29
0209200786A	6290	3338	670	380	150	79	23	40	5
0209200787A	8450	9644	1579	852	157	190	52	40	21
0209200788A	26762	7634	2193	1257	602	209	67	102	36
0209200788B	12677	4858	1191	677	286	149	43	55	17
0209200788C	15807	3024	982	534	302	74	213	43	19
0209200791A	12745	5197	1233	721	437	119	37	69	21
0209200791B	9545	5665	1220	624	400	130	30	54	17
0209900849A	108	195	26	8	2	1	2	1	0
0210000746A	192	238	0	3	1	2	0	0	0
0210100855A	4	33	0	1	0	0	0	1	0
0210100857A	11	6	3	0	0	0	0	0	0
0210100857B	38	48	2	4	0	0	0	0	0
0210200862A	49	57	5	1	0	0	0	0	0
0210200863A	163	112	14	4	2	1	1	0	0
0210200864A	162	85	5	6	0	2	0	2	0
0210400871A	3	28	1	0	1	0	1	0	0
0210400871B	4	46	1	0	0	0	0	0	0
0210400871C	7	35	3	0	1	0	0	0	0
0210500878A	6918	2358	664	256	222	67	22	17	12
0210500879A	8396	3654	878	458	326	99	23	33	13
0210500880A	1406	535	128	60	44	15	6	3	2
0210500880B	1109	928	149	93	35	27	5	6	6
0210500882A	243	196	51	10	11	4	1	5	1
0210600892A	9470	12635	2034	1114	434	284	68	30	27
0210700901A	4741	2525	574	242	298	36	17	23	23
0210700901B	6022	4953	1183	341	489	95	26	28	30
0211000929A	19	42	2	0	3	1	0	0	0
0211100933A	2718	1821	294	159	94	42	8	12	5
