Depto	Partido	Circuito	Mesa	Votos
Almirante Brown	CELESTE Y BLANCA U	0017	48	59
Almirante Brown	CAMBIANDO JUNTOS	0017	49	153
Almirante Brown	CELESTE Y BLANCA U	0017	49	35
Almirante Brown	CAMBIANDO JUNTOS	0017	50	143
Almirante Brown	CELESTE Y BLANCA U	0017	50	59
Almirante Brown	CAMBIANDO JUNTOS	0017	51	162
Almirante Brown	CELESTE Y BLANCA U	0017	51	47
Almirante Brown	CAMBIANDO JUNTOS	0017	52	156
Almirante Brown	CELESTE Y BLANCA U	0017	52	55
Almirante Brown	CAMBIANDO JUNTOS	0017	53	146
Almirante Brown	CELESTE Y BLANCA U	0017	53	65
Almirante Brown	CAMBIANDO JUNTOS	0017	54	153
Almirante Brown	CELESTE Y BLANCA U	0017	54	50
Almirante Brown	CAMBIANDO JUNTOS	0017	55	160
Almirante Brown	CELESTE Y BLANCA U	0017	55	48
Almirante Brown	CAMBIANDO JUNTOS	0017	56	143
Almirante Brown	CELESTE Y BLANCA U	0017	56	57
Almirante Brown	CAMBIANDO JUNTOS	0017	57	131
Almirante Brown	CELESTE Y BLANCA U	0017	57	55
Almirante Brown	CAMBIANDO JUNTOS	0017	58	154
Almirante Brown	CELESTE Y BLANCA U	0017	58	5
Almirante Brown	CAMBIANDO JUNTOS	0017	59	156
Almirante Brown	CELESTE Y BLANCA U	0017	59	49
Almirante Brown	CAMBIANDO JUNTOS	0017	60	150
Almirante Brown	CELESTE Y BLANCA U	0017	60	55
Almirante Brown	CAMBIANDO JUNTOS	0017	61	165
Almirante Brown	CELESTE Y BLANCA U	0017	61	41
Almirante Brown	CAMBIANDO JUNTOS	0017	62	163
Almirante Brown	CELESTE Y BLANCA U	0017	62	40
Almirante Brown	CAMBIANDO JUNTOS	0017	63	168
Almirante Brown	CELESTE Y BLANCA U	0017	63	55
Almirante Brown	CAMBIANDO JUNTOS	0017	64	165
Almirante Brown	CELESTE Y BLANCA U	0017	64	47
Almirante Brown	CAMBIANDO JUNTOS	0017	65	155
Almirante Brown	CELESTE Y BLANCA U	0017	65	56
Almirante Brown	CAMBIANDO JUNTOS	0017	66	148
Almirante Brown	CELESTE Y BLANCA U	0017	66	46
Almirante Brown	CAMBIANDO JUNTOS	0017	67	148
Almirante Brown	CELESTE Y BLANCA U	0017	67	63
Almirante Brown	CAMBIANDO JUNTOS	0017	68	150
Almirante Brown	CELESTE Y BLANCA U	0017	68	59
Almirante Brown	CAMBIANDO JUNTOS	0017	69	85
Almirante Brown	CELESTE Y BLANCA U	0017	69	23
Almirante Brown	CAMBIANDO JUNTOS	0017	70	68
Almirante Brown	CELESTE Y BLANCA U	0017	70	24
Almirante Brown	CAMBIANDO JUNTOS	0018	71	95
Almirante Brown	CELESTE Y BLANCA U	0018	71	107
Almirante Brown	CAMBIANDO JUNTOS	0018	72	93
Almirante Brown	CELESTE Y BLANCA U	0018	72	84
Almirante Brown	CAMBIANDO JUNTOS	0018	73	83
Almirante Brown	CELESTE Y BLANCA U	0018	73	90
Almirante Brown	CAMBIANDO JUNTOS	0018	74	83
Almirante Brown	CELESTE Y BLANCA U	0018	74	103
Almirante Brown	CAMBIANDO JUNTOS	0018	75	78
Almirante Brown	CELESTE Y BLANCA U	0018	75	105
Almirante Brown	CAMBIANDO JUNTOS	0018	76	72
Almirante Brown	CELESTE Y BLANCA U	0018	76	112
Almirante Brown	CAMBIANDO JUNTOS	0018	77	74
Almirante Brown	CELESTE Y BLANCA U	0018	77	90
Almirante Brown	CAMBIANDO JUNTOS	0018	78	85
Almirante Brown	CELESTE Y BLANCA U	0018	78	100
Almirante Brown	CAMBIANDO JUNTOS	0018	79	97
Almirante Brown	CELESTE Y BLANCA U	0018	79	93
Almirante Brown	CAMBIANDO JUNTOS	0018	80	98
Almirante Brown	CELESTE Y BLANCA U	0018	80	105
Almirante Brown	CAMBIANDO JUNTOS	0018	81	115
Almirante Brown	CELESTE Y BLANCA U	0018	81	79
Almirante Brown	CAMBIANDO JUNTOS	0018	82	102
Almirante Brown	CELESTE Y BLANCA U	0018	82	103
Almirante Brown	CAMBIANDO JUNTOS	0018	83	61
Almirante Brown	CELESTE Y BLANCA U	0018	83	117
Almirante Brown	CAMBIANDO JUNTOS	0018	84	116
Almirante Brown	CELESTE Y BLANCA U	0018	84	74
Almirante Brown	CAMBIANDO JUNTOS	0018	85	92
Almirante Brown	CELESTE Y BLANCA U	0018	85	93
Almirante Brown	CAMBIANDO JUNTOS	0018	86	90
Almirante Brown	CELESTE Y BLANCA U	0018	86	101
Almirante Brown	CAMBIANDO JUNTOS	0018	87	97
Almirante Brown	CELESTE Y BLANCA U	0018	87	93
Almirante Brown	CAMBIANDO JUNTOS	0018	88	95
Almirante Brown	CELESTE Y BLANCA U	0018	88	105
Almirante Brown	CAMBIANDO JUNTOS	0018	89	100
Almirante Brown	CELESTE Y BLANCA U	0018	89	79
Almirante Brown	CAMBIANDO JUNTOS	0018	90	85
Almirante Brown	CELESTE Y BLANCA U	0018	90	107
Almirante Brown	CAMBIANDO JUNTOS	0018	91	110
Almirante Brown	CELESTE Y BLANCA U	0018	91	79
Almirante Brown	CAMBIANDO JUNTOS	0018	92	110
Almirante Brown	CELESTE Y BLANCA U	0018	92	100
Almirante Brown	CAMBIANDO JUNTOS	0018	93	93
Almirante Brown	CELESTE Y BLANCA U	0018	93	102
Almirante Brown	CAMBIANDO JUNTOS	0018	94	107
Almirante Brown	CELESTE Y BLANCA U	0018	94	104
