CODIGO PROVINCIA;CODIGO DEPARTAMENTO;CODIGO CIRCUITO   ;CODIGO MESA;AMBITO;CODIGO VOTOS;VOTOS
01;001;0002 ;0034; ;9005;007
01;001;0002 ;0034; ;9006;000
01;001;0002 ;0034; ;0131;106
01;001;0002 ;0034; ;0135;140
01;001;0002 ;0035; ;9001;347
01;001;0002 ;0035; ;9002;266
01;001;0002 ;0035; ;9003;000
01;001;0002 ;0035; ;9004;004
01;001;0002 ;0035; ;9005;003
01;001;0002 ;0035; ;9006;000
01;001;0002 ;0035; ;0131;138
01;001;0002 ;0035; ;0135;121
01;001;0002 ;0036; ;9001;346
01;001;0002 ;0036; ;9002;247
01;001;0002 ;0036; ;9003;000
01;001;0002 ;0036; ;9004;003
01;001;0002 ;0036; ;9005;002
01;001;0002 ;0036; ;9006;000
01;001;0002 ;0036; ;0131;117
01;001;0002 ;0036; ;0135;125
01;001;0002 ;0037; ;9001;348
01;001;0002 ;0037; ;9002;257
01;001;0002 ;0037; ;9003;000
01;001;0002 ;0037; ;9004;005
01;001;0002 ;0037; ;9005;005
01;001;0002 ;0037; ;9006;000
01;001;0002 ;0037; ;0131;128
01;001;0002 ;0037; ;0135;119
01;001;0002 ;0038; ;9001;349
01;001;0002 ;0038; ;9002;244
01;001;0002 ;0038; ;9003;000
01;001;0002 ;0038; ;9004;005
01;001;0002 ;0038; ;9005;004
01;001;0002 ;0038; ;9006;000
01;001;0002 ;0038; ;0131;114
01;001;0002 ;0038; ;0135;121
01;001;0002 ;0039; ;9001;348
01;001;0002 ;0039; ;9002;249
01;001;0002 ;0039; ;9003;000
01;001;0002 ;0039; ;9004;002
01;001;0002 ;0039; ;9005;003
01;001;0002 ;0039; ;9006;000
01;001;0002 ;0039; ;0131;101
01;001;0002 ;0039; ;0135;143
01;001;0002 ;0040; ;9001;347
01;001;0002 ;0040; ;9002;262
01;001;0002 ;0040; ;9003;000
01;001;0002 ;0040; ;9004;005
01;001;0002 ;0040; ;9005;000
01;001;0002 ;0040; ;9006;000
01;001;0002 ;0040; ;0131;133
01;001;0002 ;0040; ;0135;124
01;001;0002 ;0041; ;9001;347
01;001;0002 ;0041; ;9002;254
01;001;0002 ;0041; ;9003;000
01;001;0002 ;0041; ;9004;004
01;001;0002 ;0041; ;9005;004
01;001;0002 ;0041; ;9006;000
01;001;0002 ;0041; ;0131;130
01;001;0002 ;0041; ;0135;116
01;001;0002 ;0042; ;9001;349
01;001;0002 ;0042; ;9002;231
01;001;0002 ;0042; ;9003;000
01;001;0002 ;0042; ;9004;002
01;001;0002 ;0042; ;9005;009
01;001;0002 ;0042; ;9006;000
01;001;0002 ;0042; ;0131;108
01;001;0002 ;0042; ;0135;112
01;001;0002 ;0043; ;9001;348
01;001;0002 ;0043; ;9002;250
01;001;0002 ;0043; ;9003;000
01;001;0002 ;0043; ;9004;010
01;001;0002 ;0043; ;9005;000
01;001;0002 ;0043; ;9006;000
01;001;0002 ;0043; ;0131;193
01;001;0002 ;0043; ;0135;137
01;001;0002 ;0044; ;9001;347
01;001;0002 ;0044; ;9002;246
01;001;0002 ;0044; ;9003;000
01;001;0002 ;0044; ;9004;006
01;001;0002 ;0044; ;9005;008
01;001;0002 ;0044; ;9006;005
01;001;0002 ;0044; ;0131;113
01;001;0002 ;0044; ;0135;112
01;001;0002 ;0045; ;9001;348
01;001;0002 ;0045; ;9002;267
01;001;0002 ;0045; ;9003;000
01;001;0002 ;0045; ;9004;011
01;001;0002 ;0045; ;9005;000
01;001;0002 ;0045; ;9006;000
01;001;0002 ;0045; ;0131;135
01;001;0002 ;0045; ;0135;121
01;001;0002 ;0046; ;9001;347
01;001;0002 ;0046; ;9002;259
