datetime,latitude,longitude
2018-09-07 08:00:05,40.4194219,-3.7002878
2018-09-07 08:02:50,40.4194195,-3.7002915
2018-09-07 08:03:08,40.4194192,-3.7002902
2018-09-07 08:03:23,40.4194193,-3.7002913
2018-09-07 08:03:35,40.4194198,-3.7002907
2018-09-07 08:21:34,40.4193902,-3.7003236
2018-09-07 08:22:25,40.4194189,-3.7002878
2018-09-07 08:23:36,40.4193902,-3.7003363
2018-09-07 08:23:52,40.4194032,-3.7003046
2018-09-07 08:24:08,40.4194139,-3.7002914
2018-09-07 08:24:24,40.4194086,-3.7002911
2018-09-07 08:24:41,40.4194128,-3.7002867
2018-09-07 08:25:03,40.419415,-3.7002997
2018-09-07 08:25:20,40.41939,-3.7003501
2018-09-07 08:25:36,40.419413,-3.7003018
2018-09-07 08:25:52,40.4194023,-3.7003177
2018-09-07 08:26:15,40.4194221,-3.7002893
2018-09-07 08:26:31,40.4194208,-3.7002895
2018-09-07 08:26:47,40.4194104,-3.7003199
2018-09-07 08:27:07,40.4194198,-3.7002901
2018-09-07 08:27:27,40.4194198,-3.7002891
2018-09-07 08:27:43,40.4193959,-3.7003305
2018-09-07 08:28:12,40.4194195,-3.7002896
2018-09-07 08:28:30,40.4194197,-3.7002901
2018-09-07 08:28:45,40.4194008,-3.7003113
2018-09-07 08:29:02,40.4194159,-3.7002937
2018-09-07 08:29:18,40.4194192,-3.7002916
2018-09-07 08:29:34,40.4194189,-3.7002906
2018-09-07 08:29:55,40.4193894,-3.7003257
2018-09-07 08:30:11,40.4193896,-3.7003344
2018-09-07 08:30:28,40.4193894,-3.7003358
2018-09-07 08:30:46,40.4193933,-3.7003303
2018-09-07 08:31:02,40.4194029,-3.7003231
2018-09-07 08:31:19,40.4194112,-3.7003176
2018-09-07 08:31:39,40.419422,-3.7002901
2018-09-07 08:32:02,40.419417,-3.7003133
2018-09-07 08:32:18,40.4194036,-3.7003165
2018-09-07 08:32:34,40.4194072,-3.7003239
2018-09-07 08:39:53,40.4193876,-3.7003497
2018-09-07 08:54:08,40.417243,-3.7029702
2018-09-07 08:54:24,40.4171316,-3.7030433
2018-09-07 08:54:48,40.4171509,-3.703047
2018-09-07 08:55:45,40.4171252,-3.7030269
2018-09-07 08:56:23,40.4170007,-3.7031758
2018-09-07 08:56:40,40.4171171,-3.7030427
2018-09-07 08:56:56,40.4171171,-3.703043
2018-09-07 08:57:11,40.4171169,-3.7030431
2018-09-07 09:04:00,40.4149354,-3.702634
2018-09-07 09:04:17,40.4151069,-3.7022986
2018-09-07 09:04:32,40.4151466,-3.7023134
2018-09-07 09:04:48,40.4151114,-3.7022828
2018-09-07 09:05:03,40.4151298,-3.7022915
2018-09-07 09:05:18,40.4151139,-3.7022864
2018-09-07 09:05:34,40.415116,-3.7022793
2018-09-07 09:05:49,40.4151159,-3.7022779
2018-09-07 09:06:05,40.4151088,-3.7020919
2018-09-07 09:06:21,40.4151402,-3.7015841
2018-09-07 09:06:36,40.4150552,-3.7015574
2018-09-07 09:46:52,40.4151231,-3.707478
2018-09-07 09:47:08,40.4150107,-3.707514
2018-09-07 09:47:24,40.4150078,-3.7075853
2018-09-07 09:47:40,40.4150754,-3.7075929
2018-09-07 11:10:36,40.4153026,-3.7101381
2018-09-07 11:10:52,40.4153808,-3.7103318
2018-09-07 11:11:08,40.4153439,-3.7103219
2018-09-07 11:11:31,40.415338,-3.7103686
2018-09-07 11:11:56,40.4155362,-3.7101334
2018-09-07 11:12:15,40.415354,-3.7103921
2018-09-07 11:12:31,40.4153273,-3.7104237
2018-09-07 11:12:47,40.4153265,-3.7104295
2018-09-07 11:13:05,40.4152853,-3.7104364
2018-09-07 11:13:20,40.415282,-3.7104373
2018-09-07 11:13:36,40.4152681,-3.7104384
2018-09-07 11:13:52,40.4152595,-3.7104326
2018-09-07 11:15:53,40.4154181,-3.7113136
2018-09-07 11:16:08,40.4154561,-3.711482
2018-09-07 11:16:23,40.4155153,-3.7116156
2018-09-07 11:16:39,40.4156265,-3.7117818
2018-09-07 11:16:55,40.4155735,-3.7117703
2018-09-07 11:19:10,40.4154028,-3.7120348
2018-09-07 11:19:28,40.4150715,-3.7120534
2018-09-07 11:19:43,40.4152321,-3.7122268
2018-09-07 11:19:59,40.4150862,-3.7120548
2018-09-07 11:20:15,40.4152069,-3.7122552
2018-09-07 11:22:48,40.4155254,-3.7133843
2018-09-07 11:23:07,40.4155384,-3.7131304
2018-09-07 11:23:23,40.4155424,-3.7131417
2018-09-07 11:34:25,40.4156059,-3.714661
2018-09-07 11:34:41,40.4156498,-3.7146465
2018-09-07 11:35:31,40.4156871,-3.7146317
2018-09-07 11:35:47,40.4156864,-3.7146331
2018-09-07 11:36:02,40.4156556,-3.7146482
2018-09-07 11:36:18,40.4157094,-3.7147262
2018-09-07 11:58:14,40.4157025,-3.7139529
2018-09-07 12:26:06,40.4164964,-3.714425
2018-09-07 12:26:22,40.4165373,-3.7144749
2018-09-07 12:26:38,40.416636,-3.7144865
2018-09-07 12:26:53,40.4165696,-3.7145569
2018-09-07 12:27:08,40.4164613,-3.7145118
2018-09-07 12:27:54,40.4165939,-3.7141979
2018-09-07 12:28:10,40.4165803,-3.7141845
2018-09-07 12:33:14,40.418095,-3.7135988
2018-09-07 12:33:30,40.4180142,-3.7132548
2018-09-07 12:33:45,40.4180088,-3.7132754
2018-09-07 12:34:00,40.4179846,-3.713164
2018-09-07 12:34:16,40.417993,-3.7132365
2018-09-07 12:34:32,40.4180087,-3.713246
2018-09-07 12:34:51,40.4179931,-3.7132716
2018-09-07 12:35:07,40.4180008,-3.7132717
2018-09-07 12:35:22,40.4180017,-3.71327
2018-09-07 12:35:38,40.4180019,-3.7132698
2018-09-07 12:35:56,40.4179941,-3.7132587
2018-09-07 12:37:30,40.4179662,-3.7134486
2018-09-07 13:14:18,40.4200852,-3.7131482
2018-09-07 13:14:34,40.4199715,-3.7131442
2018-09-07 13:14:49,40.4199731,-3.7131343
2018-09-07 13:15:05,40.4200682,-3.7131465
2018-09-07 13:44:28,40.4221129,-3.7132984
2018-09-07 13:45:10,40.4218823,-3.7136149
2018-09-07 13:45:26,40.421941,-3.7140542
2018-09-07 13:46:25,40.4220432,-3.7136364
2018-09-07 15:08:50,40.4223007,-3.709141
2018-09-07 15:10:38,40.4222846,-3.7088621
2018-09-07 15:42:23,40.4196001,-3.7053792
2018-09-07 15:42:40,40.4196266,-3.7053765
2018-09-07 15:43:16,40.4196814,-3.7053425
2018-09-07 15:55:30,40.4195272,-3.705229
2018-09-07 15:58:28,40.4195829,-3.7052181
2018-09-07 15:59:32,40.4195336,-3.7052249
2018-09-07 15:59:53,40.4195421,-3.7052244
2018-09-07 16:00:14,40.4195342,-3.7051839
2018-09-07 16:00:32,40.419467,-3.7051712
2018-09-07 16:01:10,40.4194574,-3.7052455
2018-09-07 16:01:32,40.4194595,-3.7052446
2018-09-07 16:01:51,40.4194998,-3.7052767
2018-09-07 16:02:12,40.419504,-3.7052804
2018-09-07 16:02:30,40.4194751,-3.705265
2018-09-07 16:02:50,40.4194798,-3.7052602
2018-09-07 16:03:10,40.4194812,-3.7052668
2018-09-07 16:03:36,40.4194383,-3.7053452
2018-09-07 16:25:12,40.4192322,-3.7052775
2018-09-07 16:32:18,40.4192436,-3.7052892
2018-09-07 16:32:37,40.4192334,-3.7052786
